Armenia,2010,17.0,17.0,99.76725094,99.69569451,26.5,54.9,8.4,1.0,24.4,27.8,49.6,100.0,0.002778436,4,4
Australia,1985,18.0,18.0,99.0,99.0,72.41578947,76.3,2.826666667,0.653333333,24.58,26.92,38.3,100.5,0.001841133,8,1
Australia,1986,18.0,18.0,99.0,99.0,72.2,76.1,2.4,0.6,24.8,27.1,39.2,100.2,0.00178295,8,1
Australia,1987,18.0,18.0,99.0,99.0,71.27777778,75.05555556,2.3,0.6,25.09,27.38,39.7,100.3,0.001711209,8,1
Australia,1988,18.0,18.0,99.0,99.0,70.35555556,74.01111111,2.2,0.6,25.38,27.66,40.3,100.4,0.001680024,8,1
Australia,1989,18.0,18.0,99.0,99.0,69.43333333,72.96666667,2.1,0.6,25.67,27.94,40.8,100.5,0.001688455,8,1
Australia,1990,18.0,18.0,99.0,99.0,68.51111111,71.92222222,2.0,0.6,25.96,28.22,41.3,100.3,0.001762571,8,1
Australia,1991,18.0,18.0,99.0,99.0,67.58888889,70.87777778,1.9,0.6,26.25,28.5,41.5,100.6,0.001694141,8,1
Australia,1992,18.0,18.0,99.0,99.0,66.66666667,69.83333333,1.8,0.6,26.54,28.78,41.6,100.7,0.001609506,8,1
Australia,1993,18.0,18.0,99.0,99.0,65.74444444,68.78888889,1.7,0.6,26.83,29.06,41.7,100.8,0.001481003,8,1
Australia,1994,18.0,18.0,99.0,99.0,64.82222222,67.74444444,1.6,0.6,27.12,29.34,42.1,100.9,0.00142827,8,6
Australia,1995,18.0,18.0,99.0,99.0,63.9,66.7,1.5,0.6,27.41,29.62,42.7,100.9,0.001387107,8,6
Australia,1996,18.0,18.0,99.0,99.0,64.88571429,67.28571429,1.4,0.6,27.7,29.9,42.8,101.0,0.001356725,8,6
Australia,1997,18.0,18.0,99.0,99.0,65.87142857,67.87142857,1.32,0.56,27.94,30.12,42.9,101.2,0.001318021,8,1
Australia,1998,18.0,18.0,99.0,99.0,66.85714286,68.45714286,1.24,0.52,28.18,30.34,43.3,101.3,0.001252405,8,1
Australia,1999,18.0,18.0,99.0,99.0,67.84285714,69.04285714,1.16,0.48,28.42,30.56,43.3,101.4,0.001226234,8,1
Australia,2000,18.0,18.0,99.0,99.0,68.82857143,69.62857143,1.08,0.44,28.66,30.78,44.0,101.5,0.001182521,8,1
Australia,2001,18.0,18.0,99.0,99.0,69.81428571,70.21428571,1.0,0.4,28.9,31.0,44.2,101.6,0.001191975,8,1
Australia,2002,18.0,18.0,99.0,99.0,70.8,70.8,0.96,0.4,29.06,31.12,44.3,101.4,0.001158144,8,1
Australia,2003,18.0,18.0,99.0,99.0,69.9,71.3,0.92,0.4,29.22,31.24,44.5,101.4,0.001075507,8,1
Australia,2004,18.0,18.0,99.0,99.0,69.0,71.8,0.88,0.4,29.38,31.36,44.8,101.3,0.001066189,8,1
Australia,2005,18.0,18.0,99.0,99.0,68.1,72.3,0.84,0.4,29.54,31.48,45.0,101.1,0.001039977,8,1
Australia,2006,18.0,18.0,99.0,99.0,67.88421053,72.1,0.8,0.4,29.7,31.6,45.2,100.0,0.001004952,8,1
Austria,1989,16.0,16.0,99.0,99.0,42.23072103,46.33072103,3.0,0.58,25.58,28.5,40.4,109.4,0.001417503,3,0
Austria,1990,16.0,16.0,99.0,99.0,42.88347517,46.98347517,2.85,0.59,25.84,28.7,40.8,108.3,0.001344078,3,0
Austria,1991,16.0,16.0,99.0,99.0,43.53622931,47.63622931,2.7,0.6,26.1,28.9,40.9,108.4,0.001390656,3,0
Austria,1992,16.0,16.0,99.0,99.0,44.18898345,48.28898345,2.72,0.61,26.15,28.96,41.4,108.0,0.001354059,3,0
Austria,1993,16.0,16.0,99.0,99.0,44.84173758,48.94173758,2.74,0.62,26.2,29.02,41.6,107.7,0.001270747,3,0
Austria,1994,16.0,16.0,99.0,99.0,45.49449172,49.59449172,2.76,0.63,26.25,29.08,42.8,107.4,0.001043774,3,0
Austria,1995,16.0,16.0,99.0,99.0,46.14724586,50.24724586,2.78,0.64,26.3,29.14,42.7,106.2,0.000942,3,0
Austria,1996,16.0,16.0,99.0,99.0,46.8,50.9,2.8,0.65,26.35,29.2,42.7,107.2,0.000847,3,0
Austria,1997,16.0,16.0,99.0,99.0,47.45275414,51.55275414,2.82,0.66,26.4,29.26,42.9,107.2,0.000813,3,0
Austria,1998,16.0,16.0,99.0,99.0,48.10550828,52.20550828,2.84,0.67,26.45,29.32,42.9,107.1,0.000791,3,0
Austria,1999,16.0,16.0,99.0,99.0,48.75826242,52.85826242,2.86,0.68,26.5,29.38,43.0,106.9,0.00075,3,0
Austria,2001,16.0,16.0,99.0,99.0,50.06377069,54.16377069,2.9,0.7,26.6,29.5,43.4,106.5,0.000783,3,0
Austria,2002,16.0,16.0,99.0,99.0,50.71652483,54.81652483,2.61,0.63,27.04,29.91,43.9,106.3,0.00078,3,0
Austria,2003,16.0,16.0,99.0,99.0,51.36927897,55.46927897,2.32,0.56,27.48,30.32,44.0,106.1,0.000741,3,0
Azerbaijan,1993,17.0,18.0,98.7817413,98.77920351,18.83333333,59.76666667,9.68,1.72,23.84,26.28,46.0,103.875,0.003247409,4,4
