Afghanistan,1973,16,18,x,x,1.191666667,1.038888889,50.5,7.7,18.1,26,x,x,x,5897000
Afghanistan,1974,16,18,x,x,1.6,1.6,51.03333333,7.95,17.65,25.88333333,x,x,x,6049000
Afghanistan,1979,16,18,11.14279802,45.79601619,1.984615385,2.234615385,53.7,9.2,15.4,25.3,27.98571429,92.58,55096.86,6521000
Afghanistan,1985,16,18,11.55914144,45.02572585,2.446153846,2.996153846,50.86551724,10.19310345,15.31724138,25.3,28.3,92.7,x,5631000
Afghanistan,1986,16,18,11.62853201,44.89734413,2.523076923,3.123076923,50.39310345,10.35862069,15.30344828,25.3,28.3,92.72,x,5494000
Afghanistan,1987,16,18,11.69792258,44.7689624,2.6,3.25,49.92068966,10.52413793,15.28965517,25.3,28.2,92.74,x,5390000
Afghanistan,1988,16,18,11.76731315,44.64058068,2.676923077,3.376923077,49.44827586,10.68965517,15.27586207,25.3,28.2,92.76,x,5362000
Afghanistan,1989,16,18,11.83670372,44.51219896,2.753846154,3.503846154,48.97586207,10.85517241,15.26206897,25.3,28.2,92.78,x,5458000
Afghanistan,1990,16,18,11.9060943,44.38381723,2.830769231,3.630769231,48.50344828,11.02068966,15.24827586,25.3,28.2,92.8,x,5710000
Afghanistan,1991,16,18,11.97548487,44.25543551,2.907692308,3.757692308,48.03103448,11.1862069,15.23448276,25.3,28.2,92.82,x,6144000
Afghanistan,1992,16,18,12.04487544,44.12705379,2.984615385,3.884615385,47.55862069,11.35172414,15.22068966,25.3,28.2,92.84,x,6737000
Afghanistan,1993,16,18,12.11426601,43.99867206,3.061538462,4.011538462,47.0862069,11.51724138,15.20689655,25.3,28.1,92.86,x,7411000
Afghanistan,1994,16,18,12.18365658,43.87029034,3.138461538,4.138461538,46.6137931,11.68275862,15.19310345,25.3,28.1,92.88,x,8061000
Afghanistan,1995,16,18,12.25304715,43.74190862,3.215384615,4.265384615,46.14137931,11.84827586,15.17931034,25.3,28,92.9,x,8608000
Afghanistan,1996,16,18,12.32243772,43.61352689,3.292307692,4.392307692,45.66896552,12.0137931,15.16551724,25.3,28.1,92.92,x,9023000
Afghanistan,1997,16,18,12.39182829,43.48514517,3.369230769,4.519230769,45.19655172,12.17931034,15.15172414,25.3,28.1,92.94,x,9329000
Afghanistan,1998,16,18,12.46121886,43.35676345,3.446153846,4.646153846,44.72413793,12.34482759,15.13793103,25.3,28.2,92.96,x,9570000
Afghanistan,1999,16,18,12.53060943,43.22838172,3.523076923,4.773076923,44.25172414,12.51034483,15.12413793,25.3,28.2,92.98,x,9816000
Afghanistan,2000,16,18,12.6,43.1,3.6,4.9,43.77931034,12.67586207,15.11034483,25.3,28.2,93,x,10116000
Afghanistan,2001,16,18,12.66939057,42.97161828,5.3,6.7,43.30689655,12.84137931,15.09655172,25.3,28.4,93.6,x,10483000
Afghanistan,2002,16,18,12.73878114,42.84323655,7,8.5,42.83448276,13.00689655,15.08275862,25.3,28.6,94.2,x,10896000
Afghanistan,2003,16,18,12.80817171,42.71485483,8.7,10.3,42.36206897,13.17241379,15.06896552,25.3,28.8,93.83333333,x,11336000
Afghanistan,2004,16,18,12.87756228,42.58647311,10.6,11.95,41.88965517,13.33793103,15.05517241,25.3,28.8,93.46666667,x,11774000
Afghanistan,2005,16,18,12.94695285,42.45809138,12.5,13.6,41.41724138,13.50344828,15.04137931,25.3,29,93.1,x,12187000
Afghanistan,2006,16,18,13.01634342,42.32970966,15.5,18.6,40.94482759,13.66896552,15.02758621,25.3,29.4,93.12,x,12572000
Afghanistan,2008,16,18,13.15512456,42.07294621,15.2,22.8,40,14,15,25.3,29.5047619,93.16,x,13286000
Afghanistan,2010,16,18,13.2939057,41.81618277,16.3,21.8,17.3,14.36,21.5,25.26,29.60952381,93.2,x,13983000
Algeria,1966,18,21,x,x,x,x,46.5,4.7,18.4,23.9,x,x,x,6534000
Algeria,1977,18,21,x,x,x,x,23.6,2.5,21,25.3,x,x,x,8847000
Algeria,1985,18,21,72.49017493,85.37204888,29.12105263,33.10526316,12.4,1.14,23.16,27.22,20.5,98.9,51476,11327000
Algeria,1986,18,21,73.40872091,85.8010694,30.21052632,34.45263158,11,0.97,23.43,27.46,20.9,98.82,41659,11665000
Algeria,1987,18,21,74.32726689,86.23008992,31.3,35.8,9.6,0.8,23.7,27.7,21.3,98.74,x,12000000
Algeria,1988,18,21,75.11438192,86.75192008,33.68,38.82,8.38,0.76,24.14,28.05333333,21.7,98.66,x,12331000
Algeria,1989,18,21,75.90149695,87.27375024,36.06,41.84,7.16,0.72,24.58,28.40666667,22.2,98.58,x,12660000
Algeria,1990,18,21,76.68861197,87.79558041,38.44,44.86,5.94,0.68,25.02,28.76,22.6,98.5,x,12985000
Algeria,1991,18,21,77.475727,88.31741057,40.82,47.88,4.72,0.64,25.46,29.11333333,23.1,98.46,x,13308000
Algeria,1992,18,21,78.26284203,88.83924073,43.2,50.9,3.5,0.6,25.9,29.46666667,23.5,98.42,x,13626000
Algeria,1993,18,21,79.04995706,89.36107089,45.26666667,52.9,3.33,0.56,26.26,29.82,24,98.38,x,13935000
Algeria,1994,18,21,79.83707209,89.88290105,47.33333333,54.9,3.16,0.52,26.62,30.17333333,24.5,98.34,x,14231000
Algeria,1995,18,21,80.62418711,90.40473122,49.4,56.9,2.99,0.48,26.98,30.52666667,24.9,98.3,x,14510000
