Anguilla,1996,x,x,x,x,x,x,x,x,x,x,x,23.0
Anguilla,1997,x,x,x,x,x,x,x,x,x,x,x,24.0
Anguilla,1998,x,x,x,x,x,x,x,x,x,x,x,27.0
Anguilla,1999,x,x,x,x,x,x,x,x,x,x,x,29.0
Anguilla,2000,x,x,x,x,x,x,x,x,x,x,x,37.0
Anguilla,2001,x,x,x,x,x,x,x,x,x,x,x,30.0
Anguilla,2002,x,x,x,x,x,x,x,x,x,x,x,23.0
Anguilla,2003,x,x,x,x,x,x,x,x,x,x,x,25.0
Anguilla,2004,x,x,x,x,x,x,x,x,x,x,x,26.0
Anguilla,2005,x,x,x,x,x,x,x,x,x,x,x,24.0
Anguilla,2006,x,x,x,x,x,x,x,x,x,x,x,28.0
Antigua and Barbuda,1972,x,x,x,x,x,x,x,x,x,x,x,401.0
Antigua and Barbuda,1973,x,x,x,x,x,x,x,x,x,x,x,366.0
Antigua and Barbuda,1974,x,x,x,x,x,x,x,x,x,x,x,361.0
Antigua and Barbuda,1975,x,x,x,x,x,x,x,x,x,x,x,367.0
Antigua and Barbuda,1977,x,x,x,x,x,x,x,x,x,x,x,360.0
Antigua and Barbuda,1978,x,x,x,x,x,x,x,x,x,x,x,378.0
Antigua and Barbuda,1979,x,x,x,x,x,x,x,x,x,x,x,385.0
Antigua and Barbuda,1980,x,x,x,x,x,x,x,x,x,x,x,375.0
Antigua and Barbuda,1981,x,x,x,x,x,x,x,x,x,x,x,319.0
Antigua and Barbuda,1982,x,x,x,x,x,x,x,x,x,x,x,332.0
Antigua and Barbuda,1983,x,x,x,x,x,x,x,x,x,x,x,329.0
Antigua and Barbuda,1984,x,x,x,x,x,x,x,x,x,x,x,289.0
Antigua and Barbuda,1985,x,x,x,x,x,x,x,x,x,x,x,289.0
Antigua and Barbuda,1986,x,x,x,x,x,x,x,x,x,x,x,245.0
Antigua and Barbuda,1991,x,x,x,x,x,x,x,x,x,x,x,196.0
Antigua and Barbuda,1992,x,x,x,x,x,x,x,x,x,x,x,194.0
Antigua and Barbuda,1993,x,x,x,x,x,x,x,x,x,x,x,178.0
Antigua and Barbuda,1994,x,x,x,x,x,x,x,x,x,x,x,184.0
Antigua and Barbuda,1995,x,x,x,x,x,x,x,x,x,x,x,213.0
Argentina,1965,x,x,x,x,x,x,x,x,x,x,x,51855.0
Argentina,1966,x,x,x,x,x,x,x,x,x,x,x,52736.0
Argentina,1968,x,x,x,x,x,x,x,x,x,x,x,55384.0
Argentina,1969,x,x,x,x,x,x,x,x,x,x,x,64544.0
Argentina,1970,x,x,x,x,x,x,x,x,x,x,x,66417.0
Argentina,1979,x,x,x,x,x,x,x,x,x,x,x,92068.0
Argentina,1980,x,x,x,x,x,x,x,x,x,x,x,92800.0
Argentina,1981,x,x,x,x,x,x,x,x,x,x,x,91613.0
Argentina,1982,x,x,x,x,x,x,x,x,x,x,x,85963.0
Argentina,1983,x,x,x,x,x,x,x,x,x,x,x,83770.0
Argentina,1984,x,x,x,x,x,x,x,x,x,x,x,84583.0
Argentina,1985,x,x,x,x,x,x,x,x,x,x,x,87332.0
Argentina,1986,x,x,x,x,x,x,x,x,x,x,x,91501.0
Argentina,1987,x,x,x,x,x,x,x,x,x,x,x,90605.0
Argentina,1988,x,x,x,x,x,x,x,x,x,x,x,93788.0
Argentina,1989,x,x,x,x,x,x,x,x,x,x,x,92499.0
Argentina,1990,x,x,x,x,x,x,x,x,x,x,x,96404.0
Argentina,1991,x,x,x,x,x,x,x,x,x,x,x,101772.0
Argentina,1992,x,x,x,x,x,x,x,x,x,x,x,100278.0
Argentina,1993,x,x,x,x,x,x,x,x,x,x,x,100162.0
Argentina,1994,x,x,x,x,x,x,x,x,x,x,x,103137.0
Argentina,1995,x,x,x,x,x,x,x,x,x,x,x,103688.0
Argentina,1996,x,x,x,x,x,x,x,x,x,x,x,105709.0
Argentina,1997,x,x,x,x,x,x,x,x,x,x,x,111898.0
Argentina,1998,x,x,x,x,x,x,x,x,x,x,x,107857.0
Argentina,1999,x,x,x,x,x,x,x,x,x,x,x,105546.0
Argentina,2000,x,x,x,x,x,x,x,x,x,x,x,106337.0
Argentina,2001,x,x,x,x,x,x,x,x,x,x,x,100082.0
Argentina,2002,x,x,x,x,x,x,x,x,x,x,x,101753.0
Argentina,2003,x,x,x,x,x,x,x,x,x,x,x,95224.0
Argentina,2004,x,x,x,x,x,x,x,x,x,x,x,106438.0
Argentina,2005,x,x,x,x,x,x,x,x,x,x,x,107109.0
Argentina,2006,x,x,x,x,x,x,x,x,x,x,x,106651.0
Argentina,2007,x,x,x,x,x,x,x,x,x,x,x,109561.0
Argentina,2008,x,x,x,x,x,x,x,x,x,x,x,114971.0
Argentina,2009,x,x,x,x,x,x,x,x,x,x,x,116824.0
Argentina,2010,x,x,x,x,x,x,x,x,x,x,x,117591.0
Argentina,2011,x,x,x,x,x,x,x,x,x,x,x,119012.0
Armenia,1982,x,x,x,x,x,x,x,x,x,x,x,7412.0
Armenia,1983,x,x,x,x,x,x,x,x,x,x,x,7646.0
Armenia,1984,x,x,x,x,x,x,x,x,x,x,x,7931.0
Armenia,1985,x,x,x,x,x,x,x,x,x,x,x,7984.0
Armenia,1986,x,x,x,x,x,x,x,x,x,x,x,7786.0
Armenia,1987,x,x,x,x,x,x,x,x,x,x,x,7560.0
Armenia,1988,x,x,x,x,x,x,x,x,x,x,x,8159.0
Armenia,1989,x,x,x,x,x,x,x,x,x,x,x,8530.0
Armenia,1990,x,x,x,x,x,x,x,x,x,x,x,10018.0
Armenia,1991,x,x,x,x,x,x,x,x,x,x,x,11283.0
Armenia,1992,x,x,x,x,x,x,x,x,x,x,x,12447.0
Armenia,1993,x,x,x,x,x,x,x,x,x,x,x,11832.0
Armenia,1994,x,x,x,x,x,x,x,x,x,x,x,10637.0
Armenia,1995,x,x,x,x,x,x,x,x,x,x,x,8964.0
Armenia,1996,x,x,x,x,x,x,x,x,x,x,x,8694.0
Armenia,1997,x,x,x,x,x,x,x,x,x,x,x,7257.0
Armenia,1998,x,x,x,x,x,x,x,x,x,x,x,5917.0
Armenia,1999,x,x,x,x,x,x,x,x,x,x,x,5243.0
Armenia,2000,x,x,x,x,x,x,x,x,x,x,x,4937.0
Armenia,2002,x,x,x,x,x,x,x,x,x,x,x,4401.0
Armenia,2003,x,x,x,x,x,x,x,x,x,x,x,4652.0
Armenia,2004,x,x,x,x,x,x,x,x,x,x,x,4717.0
Armenia,2006,x,x,x,x,x,x,x,x,x,x,x,4000.0
Aruba,1992,x,x,x,x,x,x,x,x,x,x,x,120.0
Aruba,1993,x,x,x,x,x,x,x,x,x,x,x,123.0
Aruba,1994,x,x,x,x,x,x,x,x,x,x,x,115.0
Aruba,1995,x,x,x,x,x,x,x,x,x,x,x,128.0
Aruba,1996,x,x,x,x,x,x,x,x,x,x,x,128.0
Aruba,1997,x,x,x,x,x,x,x,x,x,x,x,135.0
Aruba,1998,x,x,x,x,x,x,x,x,x,x,x,107.0
Aruba,1999,x,x,x,x,x,x,x,x,x,x,x,128.0
Aruba,2000,x,x,x,x,x,x,x,x,x,x,x,164.0
Aruba,2001,x,x,x,x,x,x,x,x,x,x,x,134.0
Aruba,2002,x,x,x,x,x,x,x,x,x,x,x,118.0
Aruba,2003,x,x,x,x,x,x,x,x,x,x,x,121.0
Aruba,2004,x,x,x,x,x,x,x,x,x,x,x,135.0
Aruba,2005,x,x,x,x,x,x,x,x,x,x,x,145.0
Aruba,2006,x,x,x,x,x,x,x,x,x,x,x,155.0
Aruba,2007,x,x,x,x,x,x,x,x,x,x,x,152.0
Aruba,2008,x,x,x,x,x,x,x,x,x,x,x,147.0
Aruba,2009,x,x,x,x,x,x,x,x,x,x,x,148.0
Aruba,2010,x,x,x,x,x,x,x,x,x,x,x,149.0
Australia,1965,x,x,x,x,x,x,x,x,x,x,x,23432.0
Australia,1966,x,x,x,x,x,x,x,x,x,x,x,25055.0
Australia,1967,x,x,x,x,x,x,x,x,x,x,x,24826.0
Australia,1968,x,x,x,x,x,x,x,x,x,x,x,25572.0
Australia,1969,x,x,x,x,x,x,x,x,x,x,x,26183.0
Australia,1970,x,x,x,x,x,x,x,x,x,x,x,27656.0
Australia,1971,x,x,x,x,x,x,x,x,x,x,x,30500.0
Australia,1972,x,x,x,x,x,x,x,x,x,x,x,30415.0
Australia,1973,x,x,x,x,x,x,x,x,x,x,x,27799.0
Australia,1974,x,x,x,x,x,x,x,x,x,x,x,26296.0
Australia,1975,x,x,x,x,x,x,x,x,x,x,x,24215.0
Australia,1976,x,x,x,x,x,x,x,x,x,x,x,21713.0
Australia,1977,x,x,x,x,x,x,x,x,x,x,x,20273.0
Australia,1978,x,x,x,x,x,x,x,x,x,x,x,19115.0
Australia,1979,x,x,x,x,x,x,x,x,x,x,x,18316.0
Australia,1980,x,x,x,x,x,x,x,x,x,x,x,17693.0
Australia,1981,x,x,x,x,x,x,x,x,x,x,x,17912.0
Australia,1982,x,x,x,x,x,x,x,x,x,x,x,17316.0
Australia,1983,x,x,x,x,x,x,x,x,x,x,x,16653.0
Australia,1984,x,x,x,x,x,x,x,x,x,x,x,14628.0
Australia,1985,x,x,x,x,x,x,x,x,x,x,x,14556.0
Australia,1986,x,x,x,x,x,x,x,x,x,x,x,14326.0
Australia,1987,x,x,x,x,x,x,x,x,x,x,x,13984.0
Australia,1988,x,x,x,x,x,x,x,x,x,x,x,13961.0
Australia,1989,x,x,x,x,x,x,x,x,x,x,x,14259.0
Australia,1990,x,x,x,x,x,x,x,x,x,x,x,15107.0
Australia,1991,x,x,x,x,x,x,x,x,x,x,x,14717.0
Australia,1992,x,x,x,x,x,x,x,x,x,x,x,14154.0
Australia,1993,x,x,x,x,x,x,x,x,x,x,x,13175.0
Australia,1994,x,x,x,x,x,x,x,x,x,x,x,12853.0
Australia,1995,x,x,x,x,x,x,x,x,x,x,x,12631.0
Australia,1996,x,x,x,x,x,x,x,x,x,x,x,12509.0
Australia,1997,x,x,x,x,x,x,x,x,x,x,x,12309.0
Australia,1998,x,x,x,x,x,x,x,x,x,x,x,11849.0
Australia,1999,x,x,x,x,x,x,x,x,x,x,x,11751.0
Australia,2000,x,x,x,x,x,x,x,x,x,x,x,11474.0
Australia,2001,x,x,x,x,x,x,x,x,x,x,x,11704.0
Australia,2002,x,x,x,x,x,x,x,x,x,x,x,11505.0
Australia,2003,x,x,x,x,x,x,x,x,x,x,x,10811.0
Australia,2004,x,x,x,x,x,x,x,x,x,x,x,10857.0
Australia,2005,x,x,x,x,x,x,x,x,x,x,x,10744.0
Australia,2006,x,x,x,x,x,x,x,x,x,x,x,10552.0
Australia,2007,x,x,x,x,x,x,x,x,x,x,x,11204.0
Australia,2008,x,x,x,x,x,x,x,x,x,x,x,12326.0
Australia,2009,x,x,x,x,x,x,x,x,x,x,x,12120.0
Australia,2010,x,x,x,x,x,x,x,x,x,x,x,11294.0
Australia,2011,x,x,x,x,x,x,x,x,x,x,x,11344.0
Austria,1965,x,x,x,x,x,x,x,x,x,x,x,13838.0
Austria,1966,x,x,x,x,x,x,x,x,x,x,x,15842.0
Austria,1967,x,x,x,x,x,x,x,x,x,x,x,15685.0
Austria,1968,x,x,x,x,x,x,x,x,x,x,x,15488.0
Austria,1969,x,x,x,x,x,x,x,x,x,x,x,15153.0
Austria,1970,x,x,x,x,x,x,x,x,x,x,x,14398.0
Austria,1971,x,x,x,x,x,x,x,x,x,x,x,14212.0
Austria,1972,x,x,x,x,x,x,x,x,x,x,x,14540.0
Austria,1973,x,x,x,x,x,x,x,x,x,x,x,14505.0
Austria,1974,x,x,x,x,x,x,x,x,x,x,x,14453.0
Austria,1975,x,x,x,x,x,x,x,x,x,x,x,13506.0
Austria,1976,x,x,x,x,x,x,x,x,x,x,x,12131.0
Austria,1977,x,x,x,x,x,x,x,x,x,x,x,11154.0
Austria,1978,x,x,x,x,x,x,x,x,x,x,x,10933.0
Austria,1979,x,x,x,x,x,x,x,x,x,x,x,10867.0
Austria,1980,x,x,x,x,x,x,x,x,x,x,x,11208.0
Austria,1981,x,x,x,x,x,x,x,x,x,x,x,11129.0
Austria,1982,x,x,x,x,x,x,x,x,x,x,x,10850.0
Austria,1983,x,x,x,x,x,x,x,x,x,x,x,9409.0
Austria,1984,x,x,x,x,x,x,x,x,x,x,x,8345.0
Austria,1985,x,x,x,x,x,x,x,x,x,x,x,7507.0
Austria,1986,x,x,x,x,x,x,x,x,x,x,x,7055.0
Austria,1987,x,x,x,x,x,x,x,x,x,x,x,6392.0
Austria,1988,x,x,x,x,x,x,x,x,x,x,x,6116.0
Austria,1989,x,x,x,x,x,x,x,x,x,x,x,5653.0
Austria,1990,x,x,x,x,x,x,x,x,x,x,x,5379.0
Austria,1991,x,x,x,x,x,x,x,x,x,x,x,5596.0
Austria,1992,x,x,x,x,x,x,x,x,x,x,x,5488.0
Austria,1993,x,x,x,x,x,x,x,x,x,x,x,5191.0
Austria,1994,x,x,x,x,x,x,x,x,x,x,x,4292.0
Austria,1995,x,x,x,x,x,x,x,x,x,x,x,3894.0
Austria,1996,x,x,x,x,x,x,x,x,x,x,x,3507.0
Austria,1997,x,x,x,x,x,x,x,x,x,x,x,3367.0
Austria,1998,x,x,x,x,x,x,x,x,x,x,x,3275.0
Austria,1999,x,x,x,x,x,x,x,x,x,x,x,3105.0
Austria,2001,x,x,x,x,x,x,x,x,x,x,x,3254.0
Austria,2002,x,x,x,x,x,x,x,x,x,x,x,3256.0
Austria,2003,x,x,x,x,x,x,x,x,x,x,x,3106.0
Austria,2004,x,x,x,x,x,x,x,x,x,x,x,3251.0
Austria,2005,x,x,x,x,x,x,x,x,x,x,x,3062.0
Austria,2006,x,x,x,x,x,x,x,x,x,x,x,2892.0
Azerbaijan,1982,x,x,x,x,x,x,x,x,x,x,x,6391.0
Azerbaijan,1983,x,x,x,x,x,x,x,x,x,x,x,6426.0
Azerbaijan,1984,x,x,x,x,x,x,x,x,x,x,x,6705.0
Azerbaijan,1985,x,x,x,x,x,x,x,x,x,x,x,6803.0
Azerbaijan,1986,x,x,x,x,x,x,x,x,x,x,x,7032.0
Azerbaijan,1987,x,x,x,x,x,x,x,x,x,x,x,6899.0
Azerbaijan,1988,x,x,x,x,x,x,x,x,x,x,x,8722.0
Azerbaijan,1989,x,x,x,x,x,x,x,x,x,x,x,9172.0
Azerbaijan,1990,x,x,x,x,x,x,x,x,x,x,x,8675.0
Azerbaijan,1991,x,x,x,x,x,x,x,x,x,x,x,9913.0
Azerbaijan,1992,x,x,x,x,x,x,x,x,x,x,x,11386.0
Azerbaijan,1993,x,x,x,x,x,x,x,x,x,x,x,12535.0
Azerbaijan,1994,x,x,x,x,x,x,x,x,x,x,x,13448.0
Azerbaijan,1995,x,x,x,x,x,x,x,x,x,x,x,13368.0
Azerbaijan,1996,x,x,x,x,x,x,x,x,x,x,x,12329.0
Azerbaijan,1997,x,x,x,x,x,x,x,x,x,x,x,14483.0
Azerbaijan,1998,x,x,x,x,x,x,x,x,x,x,x,13241.0
Azerbaijan,1999,x,x,x,x,x,x,x,x,x,x,x,12141.0
Azerbaijan,2000,x,x,x,x,x,x,x,x,x,x,x,11407.0
Azerbaijan,2001,x,x,x,x,x,x,x,x,x,x,x,10741.0
Azerbaijan,2002,x,x,x,x,x,x,x,x,x,x,x,11076.0
Azerbaijan,2003,x,x,x,x,x,x,x,x,x,x,x,11993.0
Azerbaijan,2004,x,x,x,x,x,x,x,x,x,x,x,13739.0
Azerbaijan,2007,x,x,x,x,x,x,x,x,x,x,x,17802.0
Bahamas,1968,x,x,x,x,x,x,x,x,x,x,x,505.0
Bahamas,1969,x,x,x,x,x,x,x,x,x,x,x,613.0
Bahamas,1970,x,x,x,x,x,x,x,x,x,x,x,578.0
Bahamas,1971,x,x,x,x,x,x,x,x,x,x,x,602.0
Bahamas,1972,x,x,x,x,x,x,x,x,x,x,x,702.0
Bahamas,1973,x,x,x,x,x,x,x,x,x,x,x,738.0
Bahamas,1974,x,x,x,x,x,x,x,x,x,x,x,727.0
Bahamas,1975,x,x,x,x,x,x,x,x,x,x,x,680.0
Bahamas,1976,x,x,x,x,x,x,x,x,x,x,x,978.0
Bahamas,1977,x,x,x,x,x,x,x,x,x,x,x,1002.0
Bahamas,2010,x,x,x,x,x,x,x,x,x,x,x,573.0
Bahrain,1977,x,x,x,x,x,x,x,x,x,x,x,1066.0
Bahrain,1978,x,x,x,x,x,x,x,x,x,x,x,1011.0
Bahrain,1979,x,x,x,x,x,x,x,x,x,x,x,900.0
Bahrain,1980,x,x,x,x,x,x,x,x,x,x,x,929.0
