Afghanistan,1973,x,x,x,x,x,x,50.5,7.7,18.1,26,x,x,x,x
Afghanistan,1974,x,x,x,x,1.6,1.6,x,x,x,x,x,x,x,x
Afghanistan,1979,x,x,x,x,x,x,53.7,9.2,15.4,25.3,x,x,x,x
Afghanistan,1985,x,x,x,x,x,x,x,x,x,x,28.3,92.7,x,x
Afghanistan,1986,x,x,x,x,x,x,x,x,x,x,28.3,x,x,x
Afghanistan,1987,x,x,x,x,x,x,x,x,x,x,28.2,x,x,x
Afghanistan,1988,x,x,x,x,x,x,x,x,x,x,28.2,x,x,x
Afghanistan,1989,x,x,x,x,x,x,x,x,x,x,28.2,x,x,x
Afghanistan,1990,x,x,x,x,x,x,x,x,x,x,28.2,92.8,x,x
Afghanistan,1991,x,x,x,x,x,x,x,x,x,x,28.2,x,x,x
Afghanistan,1992,x,x,x,x,x,x,x,x,x,x,28.2,x,x,x
Afghanistan,1993,x,x,x,x,x,x,x,x,x,x,28.1,x,x,x
Afghanistan,1994,x,x,x,x,x,x,x,x,x,x,28.1,x,x,x
Afghanistan,1995,x,x,x,x,x,x,x,x,x,x,28,92.9,x,x
Afghanistan,1996,x,x,x,x,x,x,x,x,x,x,28.1,x,x,x
Afghanistan,1997,x,x,x,x,x,x,x,x,x,x,28.1,x,x,x
Afghanistan,1998,x,x,x,x,x,x,x,x,x,x,28.2,x,x,x
Afghanistan,1999,x,x,x,x,x,x,x,x,x,x,28.2,x,x,x
Afghanistan,2000,x,x,12.6,43.1,3.6,4.9,x,x,x,x,28.2,93,x,x
Afghanistan,2001,x,x,x,x,x,x,x,x,x,x,28.4,x,x,x
Afghanistan,2002,x,x,x,x,x,x,x,x,x,x,28.6,94.2,x,x
Afghanistan,2003,x,x,x,x,8.7,10.3,x,x,x,x,28.8,x,x,x
Afghanistan,2004,x,x,x,x,x,x,x,x,x,x,28.8,x,x,x
Afghanistan,2005,x,x,x,x,12.5,13.6,x,x,x,x,29,93.1,x,x
Afghanistan,2006,x,x,x,x,15.5,18.6,x,x,x,x,29.4,x,x,x
Afghanistan,2008,x,x,x,x,15.2,22.8,40,14,15,25.3,x,x,x,x
Afghanistan,2010,16,18,x,x,16.3,21.8,17.3,x,21.5,x,x,x,x,x
Aland Islands,1991,x,x,x,x,x,x,x,x,x,x,x,x,8,x
Aland Islands,1992,x,x,x,x,x,x,x,x,x,x,x,x,9,x
Aland Islands,1993,x,x,x,x,x,x,x,x,x,x,x,x,3,x
Aland Islands,1994,x,x,x,x,x,x,x,x,x,x,x,x,7,x
Aland Islands,1995,x,x,x,x,x,x,x,x,x,x,x,x,3,x
Aland Islands,1996,x,x,x,x,x,x,x,x,x,x,x,x,0,x
Aland Islands,1997,x,x,x,x,x,x,x,x,x,x,x,x,5,x
Aland Islands,1998,x,x,x,x,x,x,x,x,x,x,x,x,3,x
Aland Islands,1999,x,x,x,x,x,x,x,x,x,x,x,x,4,x
Aland Islands,2000,x,x,x,x,x,x,x,x,x,x,x,x,5,x
Aland Islands,2001,x,x,x,x,x,x,x,x,x,x,x,x,4,x
Aland Islands,2002,x,x,x,x,x,x,x,x,x,x,x,x,3,x
Aland Islands,2003,x,x,x,x,x,x,x,x,x,x,x,x,3,x
Aland Islands,2004,x,x,x,x,x,x,x,x,x,x,x,x,3,x
Aland Islands,2005,x,x,x,x,x,x,x,x,x,x,x,x,5,x
Albania,1985,x,x,x,x,x,x,x,x,x,x,39.4,93.9,2453,x
Albania,1986,x,x,x,x,x,x,x,x,x,x,39.6,94.2,2409,x
Albania,1987,x,x,x,x,x,x,x,x,x,x,39.7,94.2,2371,x
Albania,1988,x,x,x,x,x,x,x,x,x,x,39.9,94.2,2406,x
Albania,1989,x,x,x,x,x,x,8.3,1,22.9,27,40.1,94.3,2404,x
Albania,1990,x,x,x,x,x,x,x,x,x,x,40.2,95,2373,x
Albania,1991,x,x,x,x,x,x,x,x,x,x,40.3,97.1,2264,x
Albania,1992,x,x,x,x,x,x,x,x,x,x,40.4,x,2474,x
Albania,1993,x,x,x,x,x,x,x,x,x,x,40.5,x,2573.74,x
Albania,1994,x,x,x,x,x,x,x,x,x,x,40.7,x,3154.222,x
Albania,1995,x,x,x,x,x,x,x,x,x,x,40.9,98.3,3438.263,x
Albania,1996,x,x,x,x,x,x,x,x,x,x,41.1,x,3479.422,x
Albania,1997,x,x,x,x,x,x,x,x,x,x,41.3,x,3005.453,x
Albania,1998,x,x,x,x,x,x,x,x,x,x,41.5,x,2768,x
Albania,1999,x,x,x,x,x,x,x,x,x,x,41.7,x,2536,x
Albania,2000,x,x,x,x,15.3,57.5,x,x,x,x,41.8,101,2502,x
Albania,2001,x,x,98.3,99.2,x,x,9.6,0.9,23.3,27.3,41.9,100.5,1209,x
Albania,2002,x,x,x,x,8,75.1,9.5,0,23.1,26.9,42,100.6,x,x
Albania,2003,x,x,x,x,x,x,x,x,x,x,42,100.6,2534,x
Albania,2004,x,x,x,x,x,x,x,x,x,x,42,100.7,2249,x
Albania,2005,x,x,x,x,22.4,60.1,x,x,x,x,42,100.7,2513,x
Albania,2006,x,x,x,x,x,x,x,x,x,x,42,x,x,x
Albania,2008,x,x,x,x,x,x,7.7,0.9,24.6,28.8,x,x,x,x
Albania,2009,x,x,x,x,10.2,69.3,x,x,x,x,x,x,x,x
Albania,2011,x,x,x,x,x,x,7.2,2,25.1,29.2,x,x,x,x
Algeria,1966,x,x,x,x,x,x,46.5,4.7,18.4,23.9,x,x,x,x
Algeria,1977,x,x,x,x,x,x,23.6,2.5,21,25.3,x,x,x,x
Algeria,1985,18,21,x,x,x,x,x,x,x,x,20.5,98.9,51476,x
Algeria,1986,18,21,x,x,x,x,x,x,x,x,20.9,x,41659,x
Algeria,1987,x,x,35.8,63.4,31.3,35.8,9.6,0.8,23.7,27.7,21.3,x,x,x
Algeria,1988,x,x,x,x,x,x,x,x,x,x,21.7,x,x,x
Algeria,1989,x,x,x,x,x,x,x,x,x,x,22.2,x,x,x
Algeria,1990,x,x,x,x,x,x,x,x,x,x,22.6,98.5,x,x
Algeria,1991,x,x,x,x,x,x,x,x,x,x,23.1,x,x,x
Algeria,1992,x,x,x,x,43.2,50.9,3.5,x,25.9,x,23.5,x,x,x
Algeria,1993,x,x,x,x,x,x,x,x,x,x,24,x,x,x
Algeria,1994,x,x,x,x,x,x,x,x,x,x,24.5,x,x,x
Algeria,1995,x,x,x,x,49.4,56.9,x,x,x,x,24.9,98.3,x,x
Algeria,1996,x,x,x,x,x,x,x,x,x,x,25.4,97.3,x,x
Algeria,1997,x,x,x,x,x,x,x,x,x,x,26.1,97.3,x,x
Algeria,1998,x,x,x,x,x,x,x,x,x,x,26.7,97.3,x,x
Algeria,1999,x,x,x,x,x,x,x,x,x,x,27.3,98,x,x
Algeria,2000,x,x,x,x,50.1,64,x,x,x,x,28,98.2,x,x
Algeria,2001,x,x,x,x,x,x,x,x,x,x,28.5,97.9,x,x
Algeria,2002,x,x,60.1,79.6,51.8,57,1.8,0.2,29.5,33,29,97.9,x,x
Algeria,2003,x,x,x,x,x,x,x,x,x,x,29.5,97.9,x,x
Algeria,2004,x,x,x,x,x,x,x,x,x,x,30.1,x,x,x
Algeria,2005,18,21,x,x,x,x,x,x,x,x,30.6,98.1,x,x
Algeria,2006,x,x,x,x,52,61.4,x,x,x,x,31.1,x,x,x
American Samoa,1974,x,x,x,x,x,x,9,2.2,23.3,26.2,x,x,x,x
American Samoa,1980,x,x,x,x,x,x,5.9,1.6,24.1,26.9,x,x,x,x
American Samoa,1988,x,x,x,x,x,x,x,x,x,x,x,x,117,x
American Samoa,1989,x,x,x,x,x,x,x,x,x,x,x,x,120,x
American Samoa,1990,x,x,x,x,x,x,4.7,1.6,25.7,28.3,x,94.7,138,x
American Samoa,1991,x,x,x,x,x,x,x,x,x,x,x,x,139,x
American Samoa,1992,x,x,x,x,x,x,x,x,x,x,x,x,117,x
American Samoa,1993,x,x,x,x,x,x,x,x,x,x,x,x,139,x
American Samoa,1994,x,x,x,x,x,x,x,x,x,x,x,x,142,x
American Samoa,1995,x,x,x,x,x,x,x,x,x,x,x,x,125,x
American Samoa,1996,x,x,x,x,x,x,x,x,x,x,x,x,116,x
American Samoa,1997,x,x,x,x,x,x,x,x,x,x,x,x,124,x
