Japan,2005,20,20,x,x,44.4,54.3,0.8,0.4,29.4,31.1,16573.0
Japan,2010,x,x,x,x,x,x,0.6,0.3,29.7,31.2,x
Jersey,1985,x,x,x,x,x,x,x,x,x,x,31.0
Jersey,1986,x,x,x,x,x,x,x,x,x,x,35.0
Jersey,1987,x,x,x,x,x,x,x,x,x,x,39.0
Jersey,1988,x,x,x,x,x,x,x,x,x,x,35.0
Jersey,1989,x,x,x,x,x,x,x,x,x,x,31.0
Jersey,1991,x,x,x,x,x,x,x,x,x,x,36.0
Jersey,1992,x,x,x,x,x,x,x,x,x,x,37.0
Jersey,1993,x,x,x,x,x,x,x,x,x,x,50.0
Jersey,1994,x,x,x,x,x,x,x,x,x,x,32.0
Jersey,2005,x,x,x,x,x,x,x,x,x,x,19.0
Jordan,1972,x,x,x,x,17.6,26.1,x,x,x,x,x
Jordan,1976,x,x,x,x,17.4,25.2,x,x,x,x,x
Jordan,1979,x,x,x,x,x,x,20.5,1.4,21.5,25.9,x
Jordan,1990,x,x,x,x,26.9,40,x,x,x,x,x
Jordan,1994,x,x,x,x,x,x,13,1.5,24,27,x
Jordan,1997,x,x,x,x,37.7,52.6,8.2,x,25.3,x,x
Jordan,2002,x,x,x,x,38.6,55.8,x,x,x,x,x
Jordan,2003,x,x,84.7,95.1,x,x,x,x,x,x,x
Jordan,2004,x,x,x,x,x,x,8.9,1,25.4,28.6,x
Jordan,2005,x,x,87,95.2,x,x,x,x,x,x,x
Jordan,2007,18,18,x,x,40.5,57.1,x,x,x,x,x
Jordan,2009,x,x,x,x,40.5,59.3,6.8,x,24.7,x,x
Kazakhstan,1979,x,x,x,x,x,x,10.6,2,21.7,24.1,x
Kazakhstan,1987,18,18,x,x,x,x,x,x,x,x,28567.0
Kazakhstan,1988,18,18,x,x,x,x,x,x,x,x,29977.0
Kazakhstan,1989,18,18,96.1,99.1,x,x,8.9,1.5,22.4,24.6,33215.0
Kazakhstan,1990,18,18,x,x,x,x,x,x,x,x,36493.0
Kazakhstan,1991,18,18,x,x,x,x,x,x,x,x,38706.0
Kazakhstan,1992,18,18,x,x,x,x,x,x,x,x,37802.0
Kazakhstan,1993,18,18,x,x,x,x,x,x,x,x,38694.0
Kazakhstan,1994,18,18,x,x,x,x,x,x,x,x,39981.0
Kazakhstan,1995,18,18,x,x,46.1,59.1,13.4,x,21.4,x,36096.0
Kazakhstan,1996,18,18,x,x,x,x,x,x,x,x,32014.0
Kazakhstan,1997,18,18,x,x,x,x,x,x,x,x,27791.0
Kazakhstan,1998,18,18,x,x,x,x,x,x,x,x,25621.0
Kazakhstan,1999,18,18,99.3,99.8,52.7,66.1,7.4,1.4,23.4,26.1,22882.0
Kazakhstan,2000,18,18,x,x,x,x,x,x,x,x,21619.0
Kazakhstan,2001,18,18,x,x,x,x,x,x,x,x,20341.0
Kazakhstan,2002,18,18,x,x,x,x,x,x,x,x,19092.0
Kazakhstan,2003,18,18,x,x,x,x,x,x,x,x,19744.0
Kazakhstan,2004,18,18,x,x,x,x,x,x,x,x,21068.0
Kazakhstan,2005,18,18,x,x,x,x,x,x,x,x,20807.0
Kazakhstan,2006,x,x,x,x,48.7,50.7,x,x,x,x,x
Kazakhstan,2007,18,18,x,x,x,x,x,x,x,x,x
Kazakhstan,2009,x,x,x,x,x,x,4.5,0.9,25.1,28.1,x
Kenya,1969,x,x,x,x,x,x,35.9,3.7,19.2,25.4,x
Kenya,1978,x,x,x,x,4.4,7,x,x,x,x,x
Kenya,1984,x,x,x,x,9.7,17,x,x,x,x,x
Kenya,1989,x,x,x,x,17.9,26.9,18.8,2.1,21.7,26.2,x
Kenya,1993,x,x,x,x,27.3,32.7,x,x,x,x,x
Kenya,1998,x,x,x,x,31.5,39,x,x,x,x,x
Kenya,1999,x,x,x,x,x,x,18.7,2.9,22.2,26.4,x
Kenya,2000,x,x,70.2,77.7,x,x,x,x,x,x,x
Kenya,2003,18,18,x,x,31.5,39.3,20.3,2,21.4,26.2,x
Kenya,2008,x,x,x,x,x,x,12.9,0.5,22,26.6,x
Kenya,2009,x,x,x,x,38.9,45.5,x,x,x,x,x
Kiribati,1973,x,x,x,x,x,x,24.3,6.1,20.9,24.2,x
Kiribati,1985,x,x,x,x,x,x,23.5,6.3,21.1,24.2,x
Kiribati,1990,x,x,x,x,x,x,19.2,6,21.5,24.5,x
Kiribati,1995,x,x,x,x,x,x,18,5.1,21.7,24.8,x
Kiribati,2000,x,x,x,x,31.1,36.1,x,x,x,x,x
Kiribati,2009,x,x,x,x,x,x,18.3,5.5,20.9,24.3,x
Korea DPR,2005,17,18,x,x,x,x,x,x,x,x,x
Korea Rep,2007,16,18,x,x,x,x,x,x,x,x,x
Kuwait,1970,x,x,x,x,x,x,37.7,3.3,19.6,26.5,x
Kuwait,1985,15,17,68.8,78.2,37.3,39,14.6,2.5,22.9,26.3,3571.0
Kuwait,1986,15,17,x,x,x,x,x,x,x,x,3319.0
Kuwait,1987,15,17,x,x,31.7,34.6,x,x,x,x,2988.0
Kuwait,1991,15,17,x,x,x,x,x,x,x,x,831.0
Kuwait,1992,15,17,x,x,x,x,x,x,x,x,1415.0
Kuwait,1993,15,17,x,x,x,x,x,x,x,x,1960.0
Kuwait,1994,15,17,x,x,47.4,49.8,x,x,x,x,1844.0
Kuwait,1995,15,17,74.1,81.1,x,x,10.1,0.8,27,28.5,1808.0
Kuwait,1996,15,17,x,x,40.9,50.2,x,x,x,x,1797.0
Kuwait,1998,15,17,x,x,x,x,x,x,x,x,1281.0
Kuwait,1999,15,17,x,x,39.3,52,x,x,x,x,1301.0
Kuwait,2000,15,17,x,x,x,x,x,x,x,x,1271.0
Kuwait,2002,15,17,x,x,x,x,x,x,x,x,1316.0
Kuwait,2003,15,17,x,x,x,x,x,x,x,x,1365.0
Kuwait,2004,15,17,x,x,x,x,x,x,x,x,1292.0
Kuwait,2005,15,17,91,94.4,x,x,5,0.6,27.5,28.9,1244.0
Kyrgyzstan,1979,x,x,x,x,x,x,12.3,1.8,21.2,23.7,x
Kyrgyzstan,1985,18,18,x,x,x,x,x,x,x,x,7893.0
Kyrgyzstan,1986,18,18,x,x,x,x,x,x,x,x,8172.0
Kyrgyzstan,1987,18,18,x,x,x,x,x,x,x,x,8447.0
Kyrgyzstan,1988,18,18,x,x,x,x,x,x,x,x,8375.0
Kyrgyzstan,1989,18,18,x,x,x,x,10.9,1.1,21.6,24,9065.0
Kyrgyzstan,1990,18,18,x,x,x,x,x,x,x,x,9798.0
Kyrgyzstan,1991,18,18,x,x,x,x,x,x,x,x,10984.0
Kyrgyzstan,1992,18,18,x,x,x,x,x,x,x,x,11953.0
Kyrgyzstan,1993,18,18,x,x,x,x,x,x,x,x,12669.0
Kyrgyzstan,1994,18,18,x,x,x,x,x,x,x,x,11927.0
Kyrgyzstan,1995,18,18,x,x,x,x,x,x,x,x,12406.0
Kyrgyzstan,1996,18,18,x,x,x,x,x,x,x,x,12191.0
Kyrgyzstan,1997,18,18,x,x,48.9,59.5,13.6,x,20.4,x,10554.0
Kyrgyzstan,1998,18,18,x,x,x,x,x,x,x,x,10323.0
Kyrgyzstan,1999,18,18,98.1,99.3,x,x,11.5,1.2,21.9,25,9664.0
Kyrgyzstan,2000,18,18,x,x,x,x,x,x,x,x,8727.0
Kyrgyzstan,2001,18,18,x,x,x,x,x,x,x,x,8664.0
Kyrgyzstan,2002,18,18,x,x,x,x,x,x,x,x,8302.0
Kyrgyzstan,2003,18,18,x,x,x,x,x,x,x,x,7982.0
Kyrgyzstan,2004,18,18,x,x,x,x,x,x,x,x,7729.0
Kyrgyzstan,2005,18,18,x,x,x,x,x,x,x,x,7513.0
Kyrgyzstan,2006,x,x,x,x,45.5,47.8,x,x,x,x,x
Kyrgyzstan,2009,x,x,x,x,x,x,8.1,1,23.2,26.3,x
Lao PDR,1995,x,x,47.9,73.5,x,x,x,x,x,x,x
Lao PDR,2001,x,x,60.9,77,x,x,x,x,x,x,x
Lao PDR,2005,18,18,x,x,x,x,x,x,x,x,x
Lao People's Democratic Republic,1993,x,x,x,x,15.1,18.6,x,x,x,x,x
Lao People's Democratic Republic,1995,x,x,x,x,..,20,19.7,6.4,21.2,23.9,x
Lao People's Democratic Republic,2000,x,x,x,x,28.9,32.2,26.8,x,20.5,x,x
Lao People's Democratic Republic,2005,x,x,x,x,35,38.4,19.7,6,21.7,24.7,x
Latvia,1979,x,x,x,x,x,x,8.5,2.4,21.9,24.7,x
Latvia,1986,18,18,x,x,x,x,x,x,x,x,3754.0
Latvia,1987,18,18,x,x,x,x,x,x,x,x,3820.0
Latvia,1988,18,18,x,x,x,x,x,x,x,x,3939.0
Latvia,1989,18,18,99.2,99.8,x,x,8.5,2.8,22.2,24.3,3991.0
Latvia,1990,18,18,x,x,x,x,x,x,x,x,4436.0
Latvia,1991,18,18,x,x,x,x,x,x,x,x,4406.0
Latvia,1992,18,18,x,x,x,x,x,x,x,x,4059.0
Latvia,1993,18,18,x,x,x,x,x,x,x,x,3623.0
Latvia,1994,18,18,x,x,x,x,x,x,x,x,2770.0
Latvia,1995,18,18,x,x,55.5,67.8,x,x,x,x,2416.0
Latvia,1996,18,18,x,x,x,x,x,x,x,x,2080.0
Latvia,1997,18,18,x,x,x,x,x,x,x,x,1748.0
Latvia,1998,18,18,x,x,x,x,x,x,x,x,1576.0
Latvia,1999,18,18,x,x,x,x,x,x,x,x,1629.0
Latvia,2000,18,18,99.7,99.8,x,x,1.4,0.3,26.7,28.6,1606.0
Latvia,2001,18,18,x,x,x,x,x,x,x,x,1535.0
Latvia,2002,18,18,x,x,x,x,x,x,x,x,1457.0
Latvia,2004,18,18,x,x,x,x,x,x,x,x,1459.0
Latvia,2005,18,18,x,x,x,x,1,0.2,28.1,30.4,1429.0
Latvia,2011,x,x,x,x,x,x,0.7,0.1,29.9,32.4,x
Lebanon,1970,x,x,x,x,x,x,13.2,1,23.2,28.5,x
Lebanon,1971,x,x,x,x,23,53,x,x,x,x,x
Lebanon,1984,x,x,x,x,30.7,68.8,x,x,x,x,x
Lebanon,1996,x,x,x,x,37.2,61.1,x,x,x,x,x
Lebanon,1997,x,x,x,x,x,x,5.6,0.1,27.9,31.4,x
Lebanon,2000,x,x,x,x,40.4,62.7,x,x,x,x,x
Lebanon,2004,x,x,x,x,34,58,5.3,0.4,27.4,31.4,x
Lebanon,2007,x,x,x,x,x,x,3.4,0.3,28.3,32.3,x
Lesotho,1966,x,x,x,x,x,x,22,1.2,20.3,26,x
Lesotho,1977,x,x,x,x,3.4,7.2,x,x,x,x,x
Lesotho,1986,x,x,x,x,x,x,18.1,1.6,21.3,25.5,x
Lesotho,1992,x,x,x,x,18.9,23.2,x,x,x,x,x
Lesotho,1995,x,x,x,x,26.8,29.1,x,x,x,x,x
Lesotho,2000,x,x,x,x,29.4,30.4,x,x,x,x,x
Lesotho,2001,x,x,90.3,73.7,36.1,40.6,13.8,1.5,23.9,27.7,x
Lesotho,2002,x,x,x,x,33.9,38,x,x,x,x,x
Lesotho,2004,x,x,x,x,x,x,17.9,0.4,22.5,27.3,x
Lesotho,2005,x,x,x,x,35.2,37.3,x,x,x,x,x
Lesotho,2006,x,x,x,x,x,x,14.5,2.4,24.1,27.6,x
Lesotho,2010,x,x,x,x,45.6,47,x,x,x,x,x
Liberia,1974,x,x,x,x,x,x,42.3,3.2,19.3,26.6,x
Liberia,1984,x,x,x,x,x,x,35.7,3.4,20.4,26.9,x
Liberia,1986,x,x,x,x,5.5,6.4,x,x,x,x,x
Liberia,1994,x,x,29.7,52,x,x,x,x,x,x,x
Liberia,2004,x,x,45.7,58.3,x,x,x,x,x,x,x
Liberia,2007,x,x,x,x,10.3,11.4,20.2,2.8,22.1,25.3,x
Liberia,2008,x,x,x,x,x,x,20.2,9.3,22.7,27.2,x
Libya,1973,x,x,x,x,x,x,39.6,2,,,x
Libya,1984,x,x,x,x,x,x,9.1,1.2,,,x
Libya,1994,x,x,61,86.9,x,x,x,x,x,x,x
Libya,1995,x,x,x,x,25.7,45.2,0.9,0.1,,,x
Libya,1996,x,x,x,x,x,x,x,x,x,x,2676.0
Libya,2000,x,x,x,x,x,x,x,x,x,x,4743.0
Libya,2002,x,x,x,x,x,x,x,x,x,x,1196.0
Libya,2004,x,x,74.8,92.8,x,x,x,x,x,x,x
Libya,2006,x,x,x,x,x,x,2.5,0.5,31.2,33.9,x
Liechtenstein,1960,x,x,x,x,x,x,1.8,0.3,24,27.2,x
Liechtenstein,1985,x,x,x,x,x,x,0.8,0.1,25.6,28.5,x
Liechtenstein,1986,18,18,x,x,x,x,x,x,x,x,7.0
Liechtenstein,1987,18,18,x,x,x,x,x,x,x,x,6.0
Liechtenstein,1993,18,18,x,x,x,x,x,x,x,x,8.0
Liechtenstein,1994,18,18,x,x,x,x,x,x,x,x,9.0
Liechtenstein,1995,18,18,x,x,x,x,x,x,x,x,9.0
Liechtenstein,1996,18,18,x,x,x,x,x,x,x,x,9.0
Liechtenstein,1997,18,18,x,x,x,x,1.4,0.5,28,30.6,2.0
Liechtenstein,2000,18,18,x,x,x,x,x,x,x,x,6.0
Liechtenstein,2001,18,18,x,x,x,x,x,x,x,x,9.0
Liechtenstein,2002,18,18,x,x,x,x,x,x,x,x,4.0
Liechtenstein,2003,18,18,x,x,x,x,x,x,x,x,9.0
Liechtenstein,2004,18,18,x,x,x,x,x,x,x,x,4.0
Liechtenstein,2005,18,18,x,x,x,x,1.5,0,28.8,31.8,7.0
Liechtenstein,2010,x,x,x,x,x,x,0.2,0.1,29.6,32.7,x
Lithuania,1979,x,x,x,x,x,x,,,,,x
Lithuania,1985,18,18,x,x,x,x,x,x,x,x,2972.0
Lithuania,1986,18,18,x,x,x,x,x,x,x,x,3099.0
Lithuania,1987,18,18,x,x,x,x,x,x,x,x,3236.0
Lithuania,1988,18,18,x,x,x,x,x,x,x,x,4451.0
Lithuania,1989,18,18,97.8,99.2,x,x,6.6,2.2,22.3,24.7,4966.0
Lithuania,1990,18,18,x,x,x,x,x,x,x,x,5560.0
Lithuania,1991,18,18,x,x,x,x,x,x,x,x,6276.0
Lithuania,1992,18,18,x,x,x,x,x,x,x,x,6278.0
Lithuania,1993,18,18,x,x,x,x,x,x,x,x,5568.0
Lithuania,1994,18,18,x,x,x,x,x,x,x,x,5275.0
Lithuania,1995,18,18,x,x,33.2,50.7,x,x,x,x,5114.0
Lithuania,1996,18,18,x,x,x,x,x,x,x,x,4693.0
Lithuania,1997,18,18,x,x,x,x,x,x,x,x,4142.0
Lithuania,1998,18,18,x,x,x,x,x,x,x,x,3747.0
Lithuania,1999,18,18,x,x,x,x,x,x,x,x,3362.0
Lithuania,2000,18,18,x,x,x,x,x,x,x,x,3182.0
Lithuania,2001,18,18,99.6,99.6,x,x,2.4,0.5,24.8,26.9,2786.0
Lithuania,2002,18,18,x,x,x,x,x,x,x,x,2792.0
Lithuania,2003,18,18,x,x,x,x,x,x,x,x,2801.0
Lithuania,2004,18,18,x,x,x,x,x,x,x,x,2619.0
Lithuania,2005,18,18,x,x,x,x,1.8,0.4,26.1,28.4,2494.0
Lithuania,2011,x,x,x,x,x,x,0.2,0,29.1,31.7,x
Luxembourg,1970,x,x,x,x,x,x,6.1,0.6,21.4,25.6,x
Luxembourg,1981,x,x,x,x,x,x,4.4,0.4,23.1,26.2,x
Luxembourg,1985,16,18,x,x,x,x,x,x,x,x,137.0
Luxembourg,1986,16,18,x,x,x,x,x,x,x,x,121.0
Luxembourg,1987,16,18,x,x,x,x,x,x,x,x,141.0
Luxembourg,1988,16,18,x,x,x,x,x,x,x,x,154.0
Luxembourg,1989,16,18,x,x,x,x,x,x,x,x,122.0
Luxembourg,1990,16,18,x,x,x,x,x,x,x,x,149.0
Luxembourg,1991,16,18,x,x,x,x,2.4,0.4,26,28.5,140.0
Luxembourg,1992,16,18,x,x,x,x,x,x,x,x,127.0
Luxembourg,1993,16,18,x,x,x,x,x,x,x,x,137.0
Luxembourg,1994,16,18,x,x,x,x,x,x,x,x,125.0
Luxembourg,1995,16,18,x,x,x,x,x,x,x,x,115.0
Luxembourg,1996,16,18,x,x,x,x,x,x,x,x,111.0
Luxembourg,1997,16,18,x,x,x,x,x,x,x,x,x
Luxembourg,1998,16,18,x,x,x,x,x,x,x,x,111.0
Luxembourg,2000,16,18,x,x,x,x,x,x,x,x,146.0
Luxembourg,2001,16,18,x,x,x,x,1.4,0.3,27.8,30.6,150.0
Luxembourg,2002,16,18,x,x,x,x,x,x,x,x,154.0
Luxembourg,2003,16,18,x,x,x,x,x,x,x,x,138.0
Luxembourg,2004,16,18,x,x,x,x,x,x,x,x,141.0
Luxembourg,2005,16,18,x,x,x,x,x,x,x,x,158.0
Macau SAR,2001,x,x,87.8,95.3,x,x,x,x,x,x,x
Macedonia,1994,x,x,90.9,97.2,x,x,x,x,x,x,x
Macedonia,2002,x,x,94.1,98.2,x,x,x,x,x,x,x
Madagascar,1975,x,x,x,x,x,x,34.4,9.2,20.3,23.5,x
Madagascar,1992,x,x,x,x,5.1,16.7,x,x,x,x,x
Madagascar,1993,x,x,x,x,x,x,27.4,7,20.9,24.9,x
Madagascar,1997,x,x,x,x,9.7,19.4,33.7,x,20.6,x,x
Madagascar,1999,x,x,x,x,12.9,25,x,x,x,x,x
Madagascar,2000,x,x,65.3,76.5,11.8,18.8,x,x,x,x,x
Madagascar,2003,18,18,x,x,x,x,x,x,x,x,x
Madagascar,2004,x,x,x,x,16.7,27.1,33,6.4,19.8,24.1,x
Madagascar,2008,x,x,x,x,x,x,39.9,14,19,22.4,x
Madagascar,2009,x,x,x,x,28.2,39.9,x,x,x,x,x
Malawi,1977,x,x,x,x,x,x,51,6.1,17.8,22.9,x
Malawi,1984,x,x,x,x,3.2,6.9,x,x,x,x,x
Malawi,1987,x,x,33.5,65.3,x,x,43.6,5.7,18.6,23.6,x
Malawi,1992,x,x,x,x,7.4,13,41.2,,18.7,,x
Malawi,1996,x,x,x,x,14.4,21.9,x,x,x,x,x
Malawi,1998,x,x,54,74.9,x,x,x,x,x,x,x
Malawi,2000,x,x,x,x,25.7,30.6,x,x,x,x,x
Malawi,2003,18,18,x,x,x,x,x,x,x,x,x
Malawi,2004,x,x,x,x,28.1,32.5,36.2,3.2,19,23.6,x
Malawi,2006,x,x,x,x,38.4,41,x,x,x,x,x
Malawi,2010,x,x,x,x,42.2,46.1,26.2,2.5,19.6,23.9,x
Malaysia,1967,x,x,x,x,6.2,8.7,x,x,x,x,x
Malaysia,1970,x,x,x,x,x,x,17.5,3.3,22.1,25.6,x
Malaysia,1974,x,x,x,x,23.7,33,x,x,x,x,x
Malaysia,1980,x,x,x,x,x,x,10.3,1.3,23.5,26.6,x
Malaysia,1984,x,x,x,x,29.8,51.4,x,x,x,x,x
Malaysia,1988,x,x,x,x,31.4,48.3,x,x,x,x,x
Malaysia,1991,x,x,77.3,88.6,x,x,7.6,1.4,24.6,27.9,x
Malaysia,1994,x,x,x,x,30.4,55.1,x,x,x,x,x
Malaysia,2000,x,x,85.4,92,x,x,4.9,1.1,25.1,28.6,x
Malaysia,2001,18,18,x,x,x,x,x,x,x,x,17944.0
Malaysia,2002,18,18,x,x,x,x,x,x,x,x,15891.0
Malaysia,2003,18,18,x,x,x,x,x,x,x,x,16052.0
Malaysia,2004,18,18,x,x,32.3,49,x,x,x,x,16357.0
Malaysia,2005,18,18,x,x,x,x,x,x,x,x,15752.0
Malaysia,2006,18,18,x,x,x,x,x,x,x,x,x
Malaysia,2010,x,x,x,x,x,x,6.1,5.1,25.7,28,x
Maldives,1977,x,x,x,x,x,x,56.2,12.2,17.5,22.4,x
Maldives,1985,x,x,92.4,92.1,x,x,51.2,10.2,17.9,22.1,x
Maldives,1990,x,x,96.1,95.9,x,x,x,x,x,x,x
Maldives,1991,x,x,x,x,19,29,x,x,x,x,x
Maldives,1995,x,x,96.4,96.2,x,x,46.9,6.3,18.9,24,x
Maldives,1996,0,0,x,x,x,x,x,x,x,x,677.0
Maldives,1999,0,0,x,x,33,42,x,x,x,x,589.0
Maldives,2000,0,0,96.4,96.2,x,x,x,x,x,x,518.0
Maldives,2001,0,0,x,x,x,x,x,x,x,x,508.0
Maldives,2002,0,0,x,x,x,x,x,x,x,x,379.0
Maldives,2003,0,0,x,x,x,x,x,x,x,x,281.0
Maldives,2004,x,x,x,x,34,39,x,x,x,x,x
Maldives,2006,x,x,x,x,x,x,6.7,0.8,22.9,26.4,x
Maldives,2009,x,x,x,x,27,34.7,5.6,x,22.4,x,x
Mali,1976,x,x,x,x,x,x,51.1,1.8,18.1,27.6,x
Mali,1987,15,18,x,x,1.3,4.7,44.1,1.2,18.9,28.1,58366.0
Mali,1996,x,x,x,x,4.5,6.7,49.7,4.8,18.4,25.8,x
Mali,1998,x,x,11.9,26.7,x,x,x,x,x,x,x
Mali,2001,x,x,x,x,5.7,8.1,48.6,1.7,18.5,25.9,x
Mali,2003,x,x,15.9,32.7,x,x,x,x,x,x,x
Mali,2006,15,18,x,x,6.3,8.2,52.6,10.7,17.8,24,x
Malta,1967,x,x,x,x,x,x,2.7,0.3,24,25.8,x
Malta,1971,x,x,x,x,16,87,x,x,x,x,x
Malta,1985,18,18,x,x,x,x,3.1,0.4,22.2,26.2,139.0
Malta,1986,18,18,x,x,x,x,x,x,x,x,147.0
Malta,1987,18,18,x,x,x,x,x,x,x,x,141.0
Malta,1988,18,18,x,x,x,x,x,x,x,x,138.0
Malta,1989,18,18,x,x,x,x,x,x,x,x,148.0
Malta,1990,18,18,x,x,x,x,x,x,x,x,144.0
Malta,1992,18,18,x,x,x,x,x,x,x,x,164.0
Malta,1993,18,18,x,x,46,85.8,x,x,x,x,176.0
Malta,1994,18,18,x,x,x,x,x,x,x,x,150.0
Malta,1995,18,18,89.2,86.4,x,x,2.7,0.7,21.9,26.4,142.0
Malta,1996,18,18,x,x,x,x,x,x,x,x,239.0
Malta,1997,18,18,x,x,x,x,x,x,x,x,243.0
Malta,1998,18,18,x,x,x,x,x,x,x,x,234.0
Malta,1999,18,18,x,x,x,x,x,x,x,x,233.0
Malta,2000,18,18,x,x,x,x,x,x,x,x,239.0
Malta,2001,18,18,x,x,x,x,x,x,x,x,240.0
Malta,2002,18,18,x,x,x,x,x,x,x,x,232.0
Malta,2003,18,18,x,x,x,x,x,x,x,x,219.0
Malta,2004,18,18,x,x,x,x,x,x,x,x,223.0
Malta,2005,18,18,x,x,x,x,0.5,0.1,25.3,28.2,230.0
Malta,2010,x,x,x,x,x,x,0.5,0.1,28.2,31,x
Marshall Islands,1970,x,x,x,x,18.1,22.7,x,x,x,x,x
Marshall Islands,1985,x,x,x,x,19.4,27.2,x,x,x,x,x
Marshall Islands,1999,x,x,x,x,x,x,14.3,7.6,23,25.2,x
Marshall Islands,2007,x,x,x,x,42.4,44.6,24.5,6.3,20.8,23.5,x
Martinique,1967,x,x,x,x,x,x,1.6,0.2,26.2,29.1,x
Martinique,1976,x,x,x,x,27.3,35.5,x,x,x,x,x
Martinique,1982,x,x,x,x,x,x,0.6,0.1,28.8,30.2,x
Martinique,1985,x,x,x,x,x,x,x,x,x,x,571.0
Martinique,1986,x,x,x,x,x,x,x,x,x,x,594.0
Martinique,1987,x,x,x,x,x,x,x,x,x,x,598.0
Martinique,1988,x,x,x,x,x,x,x,x,x,x,512.0
Martinique,1989,x,x,x,x,x,x,x,x,x,x,607.0
Martinique,1990,x,x,x,x,x,x,0.5,0.1,31,33,550.0
Martinique,1991,x,x,x,x,x,x,x,x,x,x,520.0
Martinique,1992,x,x,x,x,x,x,x,x,x,x,445.0
Martinique,1999,x,x,x,x,x,x,0.4,0.1,33.3,35.6,387.0
Martinique,2000,x,x,x,x,x,x,x,x,x,x,396.0
Martinique,2001,x,x,x,x,x,x,x,x,x,x,409.0
Martinique,2002,x,x,x,x,x,x,x,x,x,x,403.0
Martinique,2003,x,x,x,x,x,x,x,x,x,x,403.0
Martinique,2005,x,x,x,x,x,x,x,x,x,x,308.0
Mauritania,1977,x,x,x,x,x,x,43,1.8,19.5,27.5,x
Mauritania,1981,x,x,x,x,0.3,0.8,x,x,x,x,x
Mauritania,1988,x,x,x,x,x,x,36,3.5,20.5,28.1,x
Mauritania,1991,x,x,x,x,x,x,17.4,1.6,23,29.7,x
Mauritania,1992,x,x,x,x,1.2,4.1,x,x,x,x,x
Mauritania,2000,x,x,43.4,59.5,x,x,27.7,0.5,21.8,29.4,x
Mauritania,2001,x,x,x,x,5.1,8,x,x,x,x,x
Mauritania,2007,18,18,x,x,8,9.3,x,x,x,x,x
Mauritius,1972,x,x,x,x,x,x,13.2,0.7,22.5,27.2,x
Mauritius,1975,x,x,x,x,29.2,45.7,x,x,x,x,x
Mauritius,1983,x,x,x,x,x,x,11.2,0.6,23.7,27.4,x
Mauritius,1985,x,x,x,x,44.2,74.6,x,x,x,x,x
Mauritius,1990,18,18,74.7,85.1,x,x,11.3,0.6,23.8,28.2,2129.0
Mauritius,1991,18,18,x,x,49.2,74.6,x,x,x,x,2229.0
Mauritius,1992,18,18,x,x,x,x,x,x,x,x,2220.0
Mauritius,1994,18,18,x,x,x,x,x,x,x,x,2328.0
Mauritius,1995,18,18,x,x,x,x,x,x,x,x,2180.0
Mauritius,1996,18,18,x,x,x,x,x,x,x,x,2174.0
Mauritius,1997,18,18,x,x,x,x,x,x,x,x,2100.0
Mauritius,1998,18,18,x,x,x,x,x,x,x,x,1979.0
Mauritius,1999,18,18,x,x,x,x,x,x,x,x,1955.0
Mauritius,2000,18,18,80.5,88.2,x,x,9.8,0.7,22.6,28.5,1960.0
Mauritius,2001,18,18,x,x,x,x,x,x,x,x,1713.0
Mauritius,2002,18,18,x,x,39.3,75.8,x,x,x,x,1730.0
Mauritius,2003,18,18,x,x,x,x,x,x,x,x,1720.0
Mauritius,2005,18,18,x,x,x,x,x,x,x,x,1560.0
Mauritius,2006,18,18,x,x,x,x,x,x,x,x,x
Mayotte,2007,x,x,x,x,x,x,15.4,2.9,22.1,26.4,x
Mexico,1970,x,x,x,x,x,x,21.2,5.2,21.2,24.4,x
Mexico,1977,x,x,x,x,23.3,30.3,x,x,x,x,x
Mexico,1979,x,x,x,x,32,37.8,x,x,x,x,x
Mexico,1980,x,x,x,x,x,x,20.5,7,21.6,24.1,x
Mexico,1982,x,x,x,x,41.5,47.7,x,x,x,x,x
Mexico,1987,x,x,x,x,44.6,52.7,x,x,x,x,x
Mexico,1990,x,x,85,90.3,x,x,15.9,5.4,22.4,24.7,x
Mexico,1992,x,x,x,x,55.2,63.1,x,x,x,x,x
Mexico,1995,x,x,x,x,57.5,66.5,x,x,x,x,x
Mexico,1997,x,x,x,x,59.5,68.4,x,x,x,x,x
Mexico,2000,x,x,88.7,92.6,x,x,17.2,5.9,22.7,25,x
Mexico,2002,x,x,88.7,92,x,x,x,x,x,x,x
Mexico,2003,x,x,x,x,69.3,74.5,x,x,x,x,x
Mexico,2004,x,x,89.6,92.4,x,x,x,x,x,x,x
Mexico,2005,x,x,90.2,93.2,x,x,x,x,x,x,x
Mexico,2006,14,16,x,x,66.5,70.9,x,x,x,x,x
Mexico,2010,x,x,x,x,x,x,17,6.4,23,25.5,x
Micronesia (Fed. States of),1994,x,x,x,x,x,x,10.2,4.2,24.3,26.5,x
Mongolia,1979,x,x,x,x,x,x,15.4,1.8,21.6,24.9,x
Mongolia,1989,x,x,x,x,x,x,9,1.6,22.6,25,x
Mongolia,1990,18,18,x,x,x,x,x,x,x,x,4468.0
Mongolia,1994,18,18,x,x,41.2,57.3,x,x,x,x,4500.0
Mongolia,1995,18,18,x,x,x,x,x,x,x,x,3990.0
Mongolia,1996,18,18,x,x,x,x,3.4,x,23.6,x,3747.0
Mongolia,1997,18,18,x,x,x,x,x,x,x,x,4917.0
