Country or Area,Subgroup,Year,Value
Slovakia,Male,1998,18
Slovenia,Female,2003,18
Slovenia,Male,2003,18
South Africa,Female,2003,18
South Africa,Male,2003,18
Spain,Female,2003,18
Spain,Male,2003,18
Sri Lanka,Female,2002,18
Sri Lanka,Male,2002,18
Suriname,Female,2003,20
Suriname,Male,2003,20
Sweden,Female,2003,18
Sweden,Male,2003,18
Switzerland,Female,2003,18
Switzerland,Male,2003,18
Tanzania,Female,2003,18
Tanzania,Male,2003,18
Thailand,Female,2006,17
Thailand,Male,2006,17
Togo,Female,2006,17
Togo,Male,2006,20
Trinidad and Tobago,Female,2003,18
Trinidad and Tobago,Male,2003,18
Tunisia,Female,2003,20
Tunisia,Male,2003,20
Turkey,Female,2005,17
Turkey,Male,2005,17
Uganda,Female,2003,16
Uganda,Male,2003,18
Ukraine,Female,2003,17
Ukraine,Male,2003,18
United Kingdom,Female,2003,18
United Kingdom,Male,2003,18
United States of America,Female,2003,18
United States of America,Male,2003,18
Uruguay,Female,2003,18
Uruguay,Male,2003,18
Uzbekistan,Female,2006,17
Uzbekistan,Male,2006,18
Vanuatu,Female,2007,16
Vanuatu,Male,2007,18
Venezuela,Female,2006,14
Venezuela,Male,2006,16
Vietnam,Female,2003,18
Vietnam,Male,2003,20
Yemen,Female,2002,15
Yemen,Male,2002,15
Zambia,Female,2003,21
Zambia,Male,2003,21
