Country or Area,Year,Area,Sex,Age of mother,Record Type,Reliability,Source Year,Value,Value Footnotes
Aland Islands,1997,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,109,
Aland Islands,1997,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,91,
Aland Islands,1997,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,42,
Aland Islands,1997,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,11,
Aland Islands,1996,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,290,
Aland Islands,1996,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,0,
Aland Islands,1996,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,38,
Aland Islands,1996,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,115,
Aland Islands,1996,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,91,
Aland Islands,1996,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,42,
Aland Islands,1996,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,4,
Aland Islands,1995,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,338,
Aland Islands,1995,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,3,
Aland Islands,1995,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,44,
Aland Islands,1995,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,128,
Aland Islands,1995,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,105,
Aland Islands,1995,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,52,
Aland Islands,1995,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,6,
Aland Islands,1994,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,303,
Aland Islands,1994,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,7,
Aland Islands,1994,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,41,
Aland Islands,1994,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,119,
Aland Islands,1994,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,90,
Aland Islands,1994,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,35,
Aland Islands,1994,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,11,
Aland Islands,1993,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,329,
Aland Islands,1993,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,3,
Aland Islands,1993,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,47,
Aland Islands,1993,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,146,
Aland Islands,1993,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,85,
Aland Islands,1993,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,40,
Aland Islands,1993,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,8,
Aland Islands,1992,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,325,
Aland Islands,1992,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,9,
Aland Islands,1992,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,50,
Aland Islands,1992,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,132,
Aland Islands,1992,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,89,
Aland Islands,1992,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,40,
Aland Islands,1992,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,5,
Aland Islands,1991,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,324,
Aland Islands,1991,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,8,
Aland Islands,1991,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,66,
Aland Islands,1991,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,104,
Aland Islands,1991,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,97,
Aland Islands,1991,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,44,
Aland Islands,1991,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,5,
Albania,2005,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2006,39612,
Albania,2005,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2006,2513,
Albania,2005,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2006,13099,
Albania,2005,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2006,12843,
Albania,2005,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2006,7489,
Albania,2005,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2006,2827,
Albania,2005,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2006,585,
Albania,2005,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2006,62,
Albania,2005,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2006,17,
Albania,2005,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2006,177,
Albania,2004,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,43022,
Albania,2004,Total,Both Sexes,15 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,2249,
Albania,2004,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,13516,
Albania,2004,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,14476,
Albania,2004,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,8491,
Albania,2004,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,3239,
Albania,2004,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,736,
Albania,2004,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,64,
Albania,2004,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,12,
Albania,2004,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,239,
Albania,2003,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,47012,
Albania,2003,Total,Both Sexes,15 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,2534,
Albania,2003,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,14617,
Albania,2003,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,15837,
Albania,2003,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,9421,
Albania,2003,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,3477,
Albania,2003,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,799,
Albania,2003,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,74,
Albania,2003,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,23,
Albania,2003,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,230,
Albania,2001,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,54283,
Albania,2001,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,1209,
Albania,2001,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,13807,
Albania,2001,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,19595,
Albania,2001,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,12932,
Albania,2001,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,5007,
Albania,2001,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,1219,
Albania,2001,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,93,
Albania,2001,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,82,
Albania,2001,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,340,
Albania,2000,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,51242,
Albania,2000,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,2502,
Albania,2000,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,15898,
Albania,2000,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,17707,
Albania,2000,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,10232,
Albania,2000,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,3663,
Albania,2000,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,736,
Albania,2000,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,47,
Albania,2000,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,10,
Albania,2000,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,447,
Albania,1999,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,57948,
Albania,1999,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,2536,
Albania,1999,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,19493,
Albania,1999,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,20673,
Albania,1999,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,10678,
Albania,1999,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,3811,
Albania,1999,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,651,
Albania,1999,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,27,
Albania,1999,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,6,
Albania,1999,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,73,
Albania,1998,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,60139,
Albania,1998,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,2768,
Albania,1998,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,19689,
Albania,1998,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,21925,
Albania,1998,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,10831,
Albania,1998,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,4042,
Albania,1998,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,688,
Albania,1998,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,42,
Albania,1998,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,8,
Albania,1998,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,146,
Albania,1997,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,61739,
Albania,1997,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,3005.453,
Albania,1997,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,19525.935,
Albania,1997,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,22172.35,
Albania,1997,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,11414.302,
Albania,1997,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,4199.074,
Albania,1997,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,757.307,
Albania,1997,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,55.876,
Albania,1997,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,10.699,
Albania,1997,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,597.999,
Albania,1996,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,68358,
Albania,1996,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,3479.422,
Albania,1996,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,21806.202,
Albania,1996,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,24280.761,
Albania,1996,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,12666.737,
Albania,1996,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,4586.821,
Albania,1996,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,765.609,
Albania,1996,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,61.522,
Albania,1996,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,6.835,
Albania,1996,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,704.087,
Albania,1995,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,72081,
Albania,1995,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,3438.263,
Albania,1995,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,21631.508,
Albania,1995,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,25026.523,
Albania,1995,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,13544.019,
Albania,1995,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,4663.64,
Albania,1995,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,807.307,
Albania,1995,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,57.664,
Albania,1995,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,7.208,
Albania,1995,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,2904,
Albania,1994,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,72179,
Albania,1994,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,3154.222,
Albania,1994,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,22844.653,
Albania,1994,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,25435,
Albania,1994,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,14724.516,
Albania,1994,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,4489.533,
Albania,1994,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,815.622,
Albania,1994,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,79.396,
Albania,1994,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,14,
Albania,1994,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,621,
Albania,1993,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,67730,
Albania,1993,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,2573.74,
Albania,1993,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,21673.6,
Albania,1993,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,24240,
Albania,1993,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,13701.779,
Albania,1993,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,4178.941,
Albania,1993,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,812.76,
Albania,1993,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,88.049,
Albania,1993,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,33.865,
Albania,1993,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,426,
Albania,1992,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,75425,
Albania,1992,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2005,2474,
Albania,1992,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2005,23962,
Albania,1992,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2005,27303.85,
Albania,1992,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2005,15537.55,
Albania,1992,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2005,4631.095,
Albania,1992,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",2005,965.44,
Albania,1992,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",2005,90.51,
Albania,1992,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",2005,52.797,
Albania,1992,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2005,407.295,
Albania,1991,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",1992,77361,
Albania,1991,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",1992,2264,
Albania,1991,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",1992,24075,
Albania,1991,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",1992,27670,
Albania,1991,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",1992,16655,
Albania,1991,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",1992,5110,
Albania,1991,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",1992,1168,
Albania,1991,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",1992,111,
Albania,1991,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",1992,45,
Albania,1991,Total,Both Sexes,Unknown,Data tabulated by year of occurrence,"Final figure, complete",1992,263,
Albania,1990,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",1991,82125,
Albania,1990,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",1991,2373,
Albania,1990,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",1991,24773,
Albania,1990,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",1991,30658,
Albania,1990,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",1991,17116,
Albania,1990,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",1991,5448,
Albania,1990,Total,Both Sexes,40 - 44,Data tabulated by year of occurrence,"Final figure, complete",1991,1327,
Albania,1990,Total,Both Sexes,45 - 49,Data tabulated by year of occurrence,"Final figure, complete",1991,141,
Albania,1990,Total,Both Sexes,50 +,Data tabulated by year of occurrence,"Final figure, complete",1991,45,
