Argentina,1986,x,x,x,x,x,x,x,x,x,x,91501.0
Argentina,1987,x,x,x,x,x,x,x,x,x,x,90605.0
Argentina,1988,x,x,x,x,x,x,x,x,x,x,93788.0
Argentina,1989,x,x,x,x,x,x,x,x,x,x,92499.0
Argentina,1990,x,x,x,x,x,x,x,x,x,x,96404.0
Argentina,1991,x,x,x,x,x,x,x,x,x,x,101772.0
Argentina,1992,x,x,x,x,x,x,x,x,x,x,100278.0
Argentina,1993,x,x,x,x,x,x,x,x,x,x,100162.0
Argentina,1994,x,x,x,x,x,x,x,x,x,x,103137.0
Argentina,1995,x,x,x,x,x,x,x,x,x,x,103688.0
Argentina,1996,x,x,x,x,x,x,x,x,x,x,105709.0
Argentina,1997,x,x,x,x,x,x,x,x,x,x,111898.0
Argentina,1998,x,x,x,x,x,x,x,x,x,x,107857.0
Argentina,1999,x,x,x,x,x,x,x,x,x,x,105546.0
Argentina,2000,x,x,x,x,x,x,x,x,x,x,106337.0
Argentina,2001,x,x,x,x,x,x,x,x,x,x,100082.0
Argentina,2002,x,x,x,x,x,x,x,x,x,x,101753.0
Argentina,2003,x,x,x,x,x,x,x,x,x,x,95224.0
Argentina,2004,x,x,x,x,x,x,x,x,x,x,106438.0
Argentina,2005,x,x,x,x,x,x,x,x,x,x,107109.0
Armenia,1985,x,x,x,x,x,x,x,x,x,x,7984.0
Armenia,1986,x,x,x,x,x,x,x,x,x,x,7786.0
Armenia,1987,x,x,x,x,x,x,x,x,x,x,7560.0
Armenia,1988,x,x,x,x,x,x,x,x,x,x,8159.0
Armenia,1989,x,x,x,x,x,x,x,x,x,x,8530.0
Armenia,1990,x,x,x,x,x,x,x,x,x,x,10018.0
Armenia,1991,x,x,x,x,x,x,x,x,x,x,11283.0
Armenia,1992,x,x,x,x,x,x,x,x,x,x,12447.0
Armenia,1993,x,x,x,x,x,x,x,x,x,x,11832.0
Armenia,1994,x,x,x,x,x,x,x,x,x,x,10637.0
Armenia,1995,x,x,x,x,x,x,x,x,x,x,8964.0
Armenia,1996,x,x,x,x,x,x,x,x,x,x,8694.0
Armenia,1997,x,x,x,x,x,x,x,x,x,x,7257.0
Armenia,1998,x,x,x,x,x,x,x,x,x,x,5917.0
Armenia,1999,x,x,x,x,x,x,x,x,x,x,5243.0
Armenia,2000,x,x,x,x,x,x,x,x,x,x,4937.0
Armenia,2002,x,x,x,x,x,x,x,x,x,x,4401.0
Armenia,2003,x,x,x,x,x,x,x,x,x,x,4652.0
Armenia,2004,x,x,x,x,x,x,x,x,x,x,4717.0
Aruba,1992,x,x,x,x,x,x,x,x,x,x,120.0
Aruba,1993,x,x,x,x,x,x,x,x,x,x,123.0
Aruba,1994,x,x,x,x,x,x,x,x,x,x,115.0
Aruba,1995,x,x,x,x,x,x,x,x,x,x,128.0
Aruba,1996,x,x,x,x,x,x,x,x,x,x,128.0
Aruba,1997,x,x,x,x,x,x,x,x,x,x,135.0
Aruba,1998,x,x,x,x,x,x,x,x,x,x,107.0
Aruba,1999,x,x,x,x,x,x,x,x,x,x,128.0
Aruba,2000,x,x,x,x,x,x,x,x,x,x,164.0
Aruba,2001,x,x,x,x,x,x,x,x,x,x,134.0
Aruba,2002,x,x,x,x,x,x,x,x,x,x,118.0
Aruba,2003,x,x,x,x,x,x,x,x,x,x,121.0
Aruba,2004,x,x,x,x,x,x,x,x,x,x,135.0
Aruba,2005,x,x,x,x,x,x,x,x,x,x,145.0
Australia,1985,x,x,x,x,x,x,x,x,x,x,14556.0
Australia,1986,x,x,x,x,x,x,x,x,x,x,14326.0
Australia,1987,x,x,x,x,x,x,x,x,x,x,13984.0
Australia,1988,x,x,x,x,x,x,x,x,x,x,13961.0
Australia,1989,x,x,x,x,x,x,x,x,x,x,14259.0
Australia,1990,x,x,x,x,x,x,x,x,x,x,15107.0
Australia,1991,x,x,x,x,x,x,x,x,x,x,14717.0
Australia,1992,x,x,x,x,x,x,x,x,x,x,14154.0
Australia,1993,x,x,x,x,x,x,x,x,x,x,13175.0
Australia,1994,x,x,x,x,x,x,x,x,x,x,12853.0
Australia,1995,x,x,x,x,x,x,x,x,x,x,12631.0
Australia,1996,x,x,x,x,x,x,x,x,x,x,12509.0
Australia,1997,x,x,x,x,x,x,x,x,x,x,12309.0
Australia,1998,x,x,x,x,x,x,x,x,x,x,11849.0
Australia,1999,x,x,x,x,x,x,x,x,x,x,11751.0
Australia,2000,x,x,x,x,x,x,x,x,x,x,11474.0
Australia,2001,x,x,x,x,x,x,x,x,x,x,11704.0
Australia,2002,x,x,x,x,x,x,x,x,x,x,11505.0
Australia,2003,x,x,x,x,x,x,x,x,x,x,10811.0
Australia,2004,x,x,x,x,x,x,x,x,x,x,10857.0
Australia,2005,x,x,x,x,x,x,x,x,x,x,10744.0
Austria,1985,x,x,x,x,x,x,x,x,x,x,7507.0
Austria,1986,x,x,x,x,x,x,x,x,x,x,7055.0
Austria,1987,x,x,x,x,x,x,x,x,x,x,6392.0
Austria,1988,x,x,x,x,x,x,x,x,x,x,6116.0
Austria,1989,x,x,x,x,x,x,x,x,x,x,5653.0
Austria,1990,x,x,x,x,x,x,x,x,x,x,5379.0
Austria,1991,x,x,x,x,x,x,x,x,x,x,5596.0
Austria,1992,x,x,x,x,x,x,x,x,x,x,5488.0
Austria,1993,x,x,x,x,x,x,x,x,x,x,5191.0
Austria,1994,x,x,x,x,x,x,x,x,x,x,4292.0
Austria,1995,x,x,x,x,x,x,x,x,x,x,3894.0
Austria,1996,x,x,x,x,x,x,x,x,x,x,3507.0
Austria,1997,x,x,x,x,x,x,x,x,x,x,3367.0
Austria,1998,x,x,x,x,x,x,x,x,x,x,3275.0
Austria,1999,x,x,x,x,x,x,x,x,x,x,3105.0
Austria,2001,x,x,x,x,x,x,x,x,x,x,3254.0
Austria,2002,x,x,x,x,x,x,x,x,x,x,3256.0
Austria,2003,x,x,x,x,x,x,x,x,x,x,3106.0
Austria,2004,x,x,x,x,x,x,x,x,x,x,3251.0
Austria,2005,x,x,x,x,x,x,x,x,x,x,3062.0
Azerbaijan,1985,x,x,x,x,x,x,x,x,x,x,6803.0
Azerbaijan,1986,x,x,x,x,x,x,x,x,x,x,7032.0
Azerbaijan,1987,x,x,x,x,x,x,x,x,x,x,6899.0
Azerbaijan,1988,x,x,x,x,x,x,x,x,x,x,8722.0
Azerbaijan,1989,x,x,x,x,x,x,x,x,x,x,9172.0
Azerbaijan,1990,x,x,x,x,x,x,x,x,x,x,8675.0
Azerbaijan,1991,x,x,x,x,x,x,x,x,x,x,9913.0
Azerbaijan,1992,x,x,x,x,x,x,x,x,x,x,11386.0
Azerbaijan,1993,x,x,x,x,x,x,x,x,x,x,12535.0
Azerbaijan,1994,x,x,x,x,x,x,x,x,x,x,13448.0
Azerbaijan,1995,x,x,x,x,x,x,x,x,x,x,13368.0
Azerbaijan,1996,x,x,x,x,x,x,x,x,x,x,12329.0
Azerbaijan,1997,x,x,x,x,x,x,x,x,x,x,14483.0
Azerbaijan,1998,x,x,x,x,x,x,x,x,x,x,13241.0
Azerbaijan,1999,x,x,x,x,x,x,x,x,x,x,12141.0
Azerbaijan,2000,x,x,x,x,x,x,x,x,x,x,11407.0
Azerbaijan,2001,x,x,x,x,x,x,x,x,x,x,10741.0
Azerbaijan,2002,x,x,x,x,x,x,x,x,x,x,11076.0
Azerbaijan,2003,x,x,x,x,x,x,x,x,x,x,11993.0
Azerbaijan,2004,x,x,x,x,x,x,x,x,x,x,13739.0
Bahrain,1985,x,x,x,x,x,x,x,x,x,x,668.0
Bahrain,1986,x,x,x,x,x,x,x,x,x,x,577.0
Bahrain,1987,x,x,x,x,x,x,x,x,x,x,547.0
Bahrain,1988,x,x,x,x,x,x,x,x,x,x,480.0
Bahrain,1989,x,x,x,x,x,x,x,x,x,x,470.0
Bahrain,1990,x,x,x,x,x,x,x,x,x,x,420.0
Bahrain,1991,x,x,x,x,x,x,x,x,x,x,404.0
Bahrain,1992,x,x,x,x,x,x,x,x,x,x,457.0
Bahrain,1993,x,x,x,x,x,x,x,x,x,x,453.0
Bahrain,1994,x,x,x,x,x,x,x,x,x,x,423.0
Bahrain,1995,x,x,x,x,x,x,x,x,x,x,435.0
Bahrain,1996,x,x,x,x,x,x,x,x,x,x,442.0
Bahrain,1997,x,x,x,x,x,x,x,x,x,x,458.0
Bahrain,1998,x,x,x,x,x,x,x,x,x,x,521.0
Bahrain,1999,x,x,x,x,x,x,x,x,x,x,472.0
Bahrain,2000,x,x,x,x,x,x,x,x,x,x,360.0
Bahrain,2001,x,x,x,x,x,x,x,x,x,x,313.0
Bahrain,2002,x,x,x,x,x,x,x,x,x,x,349.0
Bahrain,2003,x,x,x,x,x,x,x,x,x,x,529.0
Bahrain,2004,x,x,x,x,x,x,x,x,x,x,531.0
Bahrain,2005,x,x,x,x,x,x,x,x,x,x,489.0
Barbados,1985,x,x,x,x,x,x,x,x,x,x,710.0
Barbados,1986,x,x,x,x,x,x,x,x,x,x,620.0
Barbados,1987,x,x,x,x,x,x,x,x,x,x,571.0
Barbados,1988,x,x,x,x,x,x,x,x,x,x,529.0
Barbados,2005,x,x,x,x,x,x,x,x,x,x,446.0
Belarus,1986,x,x,x,x,x,x,x,x,x,x,12664.0
Belarus,1987,x,x,x,x,x,x,x,x,x,x,13204.0
Belarus,1988,x,x,x,x,x,x,x,x,x,x,13412.0
Belarus,1989,x,x,x,x,x,x,x,x,x,x,14117.0
Belarus,1990,x,x,x,x,x,x,x,x,x,x,13477.0
Belarus,1991,x,x,x,x,x,x,x,x,x,x,16242.0
Belarus,1992,x,x,x,x,x,x,x,x,x,x,16500.0
Belarus,1993,x,x,x,x,x,x,x,x,x,x,15770.0
Belarus,1994,x,x,x,x,x,x,x,x,x,x,15649.0
Belarus,1995,x,x,x,x,x,x,x,x,x,x,14495.0
Belarus,1996,x,x,x,x,x,x,x,x,x,x,13443.0
Belarus,1997,x,x,x,x,x,x,x,x,x,x,12612.0
Belarus,1998,x,x,x,x,x,x,x,x,x,x,11881.0
Belarus,1999,x,x,x,x,x,x,x,x,x,x,11506.0
Belarus,2002,x,x,x,x,x,x,x,x,x,x,9656.0
Belarus,2003,x,x,x,x,x,x,x,x,x,x,9520.0
Belarus,2004,x,x,x,x,x,x,x,x,x,x,8868.0
Belgium,1986,x,x,x,x,x,x,x,x,x,x,4231.0
Belgium,1987,x,x,x,x,x,x,x,x,x,x,3932.0
Belgium,1992,x,x,x,x,x,x,x,x,x,x,3605.0
Bermuda,1985,x,x,x,x,x,x,x,x,x,x,69.0
Bermuda,1986,x,x,x,x,x,x,x,x,x,x,61.0
Bermuda,1987,x,x,x,x,x,x,x,x,x,x,80.0
Bermuda,1988,x,x,x,x,x,x,x,x,x,x,85.0
Bermuda,1989,x,x,x,x,x,x,x,x,x,x,85.0
Bermuda,1990,x,x,x,x,x,x,x,x,x,x,78.0
Bermuda,1991,x,x,x,x,x,x,x,x,x,x,71.0
Bermuda,1995,x,x,x,x,x,x,x,x,x,x,63.0
Bermuda,1996,x,x,x,x,x,x,x,x,x,x,70.0
Bermuda,1997,x,x,x,x,x,x,x,x,x,x,88.0
Bermuda,1998,x,x,x,x,x,x,x,x,x,x,66.0
Bermuda,1999,x,x,x,x,x,x,x,x,x,x,53.0
Bermuda,2000,x,x,x,x,x,x,x,x,x,x,45.0
Bermuda,2001,x,x,x,x,x,x,x,x,x,x,69.0
Bermuda,2002,x,x,x,x,x,x,x,x,x,x,57.0
Bermuda,2003,x,x,x,x,x,x,x,x,x,x,79.0
Bosnia and Herzegovina,1990,x,x,x,x,x,x,x,x,x,x,6941.0
Bosnia and Herzegovina,1991,x,x,x,x,x,x,x,x,x,x,6676.0
Bosnia and Herzegovina,1996,x,x,x,x,x,x,x,x,x,x,3761.0
Bosnia and Herzegovina,1997,x,x,x,x,x,x,x,x,x,x,4416.0
Bosnia and Herzegovina,1998,x,x,x,x,x,x,x,x,x,x,3193.0
Bosnia and Herzegovina,1999,x,x,x,x,x,x,x,x,x,x,2981.0
Bosnia and Herzegovina,2000,x,x,x,x,x,x,x,x,x,x,2532.0
Bosnia and Herzegovina,2001,x,x,x,x,x,x,x,x,x,x,2632.0
Bosnia and Herzegovina,2002,x,x,x,x,x,x,x,x,x,x,2362.0
Bosnia and Herzegovina,2003,x,x,x,x,x,x,x,x,x,x,1957.0
Bosnia and Herzegovina,2004,x,x,x,x,x,x,x,x,x,x,2139.0
Bosnia and Herzegovina,2005,x,x,x,x,x,x,x,x,x,x,2091.0
British Virgin Islands,1985,x,x,x,x,x,x,x,x,x,x,27.0
British Virgin Islands,1986,x,x,x,x,x,x,x,x,x,x,32.0
British Virgin Islands,1987,x,x,x,x,x,x,x,x,x,x,26.0
British Virgin Islands,1988,x,x,x,x,x,x,x,x,x,x,30.0
Brunei Darussalam,1985,x,x,x,x,x,x,x,x,x,x,451.0
Brunei Darussalam,1986,x,x,x,x,x,x,x,x,x,x,460.0
Brunei Darussalam,1987,x,x,x,x,x,x,x,x,x,x,517.0
Brunei Darussalam,1988,x,x,x,x,x,x,x,x,x,x,417.0
Brunei Darussalam,1989,x,x,x,x,x,x,x,x,x,x,432.0
Brunei Darussalam,1990,x,x,x,x,x,x,x,x,x,x,361.0
Brunei Darussalam,1991,x,x,x,x,x,x,x,x,x,x,406.0
Brunei Darussalam,1992,x,x,x,x,x,x,x,x,x,x,459.0
Brunei Darussalam,1996,x,x,x,x,x,x,x,x,x,x,410.0
Brunei Darussalam,1997,x,x,x,x,x,x,x,x,x,x,399.0
Brunei Darussalam,1998,x,x,x,x,x,x,x,x,x,x,432.0
Brunei Darussalam,1999,x,x,x,x,x,x,x,x,x,x,420.0
Brunei Darussalam,2000,x,x,x,x,x,x,x,x,x,x,446.0
Brunei Darussalam,2001,x,x,x,x,x,x,x,x,x,x,417.0
Brunei Darussalam,2002,x,x,x,x,x,x,x,x,x,x,394.0
Bulgaria,1985,x,x,x,x,x,x,x,x,x,x,23211.0
Bulgaria,1986,x,x,x,x,x,x,x,x,x,x,23561.0
Bulgaria,1987,x,x,x,x,x,x,x,x,x,x,23965.0
Bulgaria,1988,x,x,x,x,x,x,x,x,x,x,24586.0
Bulgaria,1989,x,x,x,x,x,x,x,x,x,x,23495.0
Bulgaria,1990,x,x,x,x,x,x,x,x,x,x,22518.0
Bulgaria,1992,x,x,x,x,x,x,x,x,x,x,21963.0
Bulgaria,1993,x,x,x,x,x,x,x,x,x,x,21025.0
Bulgaria,1994,x,x,x,x,x,x,x,x,x,x,18851.0
Bulgaria,1995,x,x,x,x,x,x,x,x,x,x,16278.0
Bulgaria,1997,x,x,x,x,x,x,x,x,x,x,13071.0
Bulgaria,2000,x,x,x,x,x,x,x,x,x,x,12787.0
Bulgaria,2001,x,x,x,x,x,x,x,x,x,x,11629.0
Bulgaria,2002,x,x,x,x,x,x,x,x,x,x,10763.0
Bulgaria,2003,x,x,x,x,x,x,x,x,x,x,10389.0
Bulgaria,2005,x,x,x,x,x,x,x,x,x,x,10078.0
Canada,1985,x,x,x,x,x,x,x,x,x,x,22315.0
Canada,1986,x,x,x,x,x,x,x,x,x,x,21662.0
Canada,1987,x,x,x,x,x,x,x,x,x,x,21216.0
Canada,1988,x,x,x,x,x,x,x,x,x,x,21304.0
Canada,1989,x,x,x,x,x,x,x,x,x,x,22697.0
Canada,1990,x,x,x,x,x,x,x,x,x,x,23418.0
Canada,1992,x,x,x,x,x,x,x,x,x,x,24248.0
Canada,1993,x,x,x,x,x,x,x,x,x,x,23693.0
Canada,1994,x,x,x,x,x,x,x,x,x,x,23980.0
Canada,1995,x,x,x,x,x,x,x,x,x,x,23657.0
Canada,1996,x,x,x,x,x,x,x,x,x,x,21824.0
Canada,1997,x,x,x,x,x,x,x,x,x,x,19920.0
Canada,1999,x,x,x,x,x,x,x,x,x,x,18982.0
Canada,2000,x,x,x,x,x,x,x,x,x,x,17503.0
Canada,2001,x,x,x,x,x,x,x,x,x,x,16572.0
Canada,2002,x,x,x,x,x,x,x,x,x,x,15533.0
Canada,2003,x,x,x,x,x,x,x,x,x,x,14945.0
Canada,2004,x,x,x,x,x,x,x,x,x,x,14816.0
Canada,2005,x,x,x,x,x,x,x,x,x,x,14013.0
Cape Verde,1985,x,x,x,x,x,x,x,x,x,x,1669.0
Cape Verde,1990,x,x,x,x,x,x,x,x,x,x,1422.0
Cayman Islands,1986,x,x,x,x,x,x,x,x,x,x,62.0
Cayman Islands,1987,x,x,x,x,x,x,x,x,x,x,57.0
Cayman Islands,1988,x,x,x,x,x,x,x,x,x,x,69.0
Cayman Islands,1989,x,x,x,x,x,x,x,x,x,x,75.0
Cayman Islands,1990,x,x,x,x,x,x,x,x,x,x,101.0
Cayman Islands,1991,x,x,x,x,x,x,x,x,x,x,76.0
Cayman Islands,1992,x,x,x,x,x,x,x,x,x,x,74.0
Cayman Islands,1993,x,x,x,x,x,x,x,x,x,x,70.0
Cayman Islands,1994,x,x,x,x,x,x,x,x,x,x,64.0
Chile,1985,x,x,x,x,x,x,x,x,x,x,35606.0
Chile,1986,x,x,x,x,x,x,x,x,x,x,36533.0
Chile,1987,x,x,x,x,x,x,x,x,x,x,36230.0
Chile,1988,x,x,x,x,x,x,x,x,x,x,38071.0
Chile,1989,x,x,x,x,x,x,x,x,x,x,39834.0
Chile,1990,x,x,x,x,x,x,x,x,x,x,40285.0
Chile,1991,x,x,x,x,x,x,x,x,x,x,39030.0
Chile,1992,x,x,x,x,x,x,x,x,x,x,38483.0
Chile,1993,x,x,x,x,x,x,x,x,x,x,38426.0
Chile,1994,x,x,x,x,x,x,x,x,x,x,38848.0
Chile,1995,x,x,x,x,x,x,x,x,x,x,38885.0
Chile,1996,x,x,x,x,x,x,x,x,x,x,39701.0
Chile,1997,x,x,x,x,x,x,x,x,x,x,40734.0
Chile,1998,x,x,x,x,x,x,x,x,x,x,41530.0
Chile,1999,x,x,x,x,x,x,x,x,x,x,40439.0
Chile,2000,x,x,x,x,x,x,x,x,x,x,40312.0
Chile,2001,x,x,x,x,x,x,x,x,x,x,39884.0
Chile,2002,x,x,x,x,x,x,x,x,x,x,37618.0
Chile,2003,x,x,x,x,x,x,x,x,x,x,34832.0
Chile,2005,x,x,x,x,x,x,x,x,x,x,36078.0
"China, Hong Kong SAR",1985,x,x,x,x,x,x,x,x,x,x,1877.0
"China, Hong Kong SAR",1986,x,x,x,x,x,x,x,x,x,x,1512.0
"China, Hong Kong SAR",1987,x,x,x,x,x,x,x,x,x,x,1306.0
"China, Hong Kong SAR",1988,x,x,x,x,x,x,x,x,x,x,1327.0
"China, Hong Kong SAR",1989,x,x,x,x,x,x,x,x,x,x,1254.0
"China, Hong Kong SAR",1990,x,x,x,x,x,x,x,x,x,x,1201.0
"China, Hong Kong SAR",1991,x,x,x,x,x,x,x,x,x,x,1270.0
"China, Hong Kong SAR",1992,x,x,x,x,x,x,x,x,x,x,1264.0
"China, Hong Kong SAR",1993,x,x,x,x,x,x,x,x,x,x,1336.0
"China, Hong Kong SAR",1994,x,x,x,x,x,x,x,x,x,x,1308.0
"China, Hong Kong SAR",1995,x,x,x,x,x,x,x,x,x,x,1191.0
"China, Hong Kong SAR",1996,x,x,x,x,x,x,x,x,x,x,1181.0
"China, Hong Kong SAR",1997,x,x,x,x,x,x,x,x,x,x,1169.0
"China, Hong Kong SAR",1998,x,x,x,x,x,x,x,x,x,x,1128.0
"China, Hong Kong SAR",1999,x,x,x,x,x,x,x,x,x,x,1041.0
"China, Hong Kong SAR",2000,x,x,x,x,x,x,x,x,x,x,981.0
"China, Hong Kong SAR",2001,x,x,x,x,x,x,x,x,x,x,886.0
"China, Hong Kong SAR",2002,x,x,x,x,x,x,x,x,x,x,800.0
"China, Hong Kong SAR",2003,x,x,x,x,x,x,x,x,x,x,762.0
"China, Hong Kong SAR",2004,x,x,x,x,x,x,x,x,x,x,844.0
"China, Hong Kong SAR",2005,x,x,x,x,x,x,x,x,x,x,828.0
"China, Macao SAR",1985,x,x,x,x,x,x,x,x,x,x,113.0
"China, Macao SAR",1986,x,x,x,x,x,x,x,x,x,x,106.0
"China, Macao SAR",1987,x,x,x,x,x,x,x,x,x,x,112.0
"China, Macao SAR",1988,x,x,x,x,x,x,x,x,x,x,80.0
"China, Macao SAR",1989,x,x,x,x,x,x,x,x,x,x,107.0
"China, Macao SAR",1990,x,x,x,x,x,x,x,x,x,x,111.0
"China, Macao SAR",1991,x,x,x,x,x,x,x,x,x,x,119.0
"China, Macao SAR",1992,x,x,x,x,x,x,x,x,x,x,101.0
"China, Macao SAR",1993,x,x,x,x,x,x,x,x,x,x,78.0
"China, Macao SAR",1994,x,x,x,x,x,x,x,x,x,x,89.0
"China, Macao SAR",1995,x,x,x,x,x,x,x,x,x,x,97.0
"China, Macao SAR",1996,x,x,x,x,x,x,x,x,x,x,78.0
"China, Macao SAR",1997,x,x,x,x,x,x,x,x,x,x,74.0
"China, Macao SAR",1998,x,x,x,x,x,x,x,x,x,x,80.0
"China, Macao SAR",1999,x,x,x,x,x,x,x,x,x,x,98.0
"China, Macao SAR",2000,x,x,x,x,x,x,x,x,x,x,93.0
"China, Macao SAR",2001,x,x,x,x,x,x,x,x,x,x,92.0
