Algeria,2002,18,21,86.13399231,94.05754235,51.8,57,1.8,0.2,29.5,33,29,97.9,x
Algeria,2003,18,21,x,x,x,x,x,x,x,x,29.5,97.9,x
Algeria,2004,18,21,x,x,x,x,x,x,x,x,30.1,x,x
Algeria,2005,18,21,x,x,x,x,x,x,x,x,30.6,98.1,x
Algeria,2006,18,21,91.77964052,94.38147977,52,61.4,x,x,x,x,31.1,x,x
Andorra,1997,16,16,x,x,x,x,x,x,x,x,x,95.1,x
Andorra,1998,16,16,x,x,x,x,x,x,x,x,x,91.3,x
Andorra,1999,16,16,x,x,x,x,x,x,x,x,x,91.9,x
Andorra,2000,16,16,x,x,x,x,x,x,x,x,x,92.4,x
Andorra,2001,16,16,x,x,x,x,x,x,x,x,x,92.4,x
Andorra,2002,16,16,x,x,x,x,x,x,x,x,x,93,12
Andorra,2003,16,16,x,x,x,x,x,x,x,x,x,92.6,13
Andorra,2004,16,16,x,x,x,x,x,x,x,x,x,x,9
Angola,1970,18,18,x,x,x,x,35.7,7.6,19.4,24.5,x,x,x
Angola,1985,18,18,x,x,x,x,x,x,x,x,46,103.2,x
Angola,1986,18,18,x,x,x,x,x,x,x,x,46,x,x
Angola,1987,18,18,x,x,x,x,x,x,x,x,46,x,x
Angola,1988,18,18,x,x,x,x,x,x,x,x,46.3,x,x
Angola,1989,18,18,x,x,x,x,x,x,x,x,46.3,x,x
Angola,1990,18,18,x,x,x,x,x,x,x,x,46.4,103,x
Angola,1991,18,18,x,x,x,x,x,x,x,x,46.3,x,x
Angola,1992,18,18,x,x,x,x,x,x,x,x,46.6,x,x
Angola,1993,18,18,x,x,x,x,x,x,x,x,46.1,x,x
Angola,1994,18,18,x,x,x,x,x,x,x,x,46.5,x,x
Angola,1995,18,18,x,x,x,x,x,x,x,x,46,103,x
Angola,1996,18,18,x,x,4.1,8.1,x,x,x,x,46,x,x
Angola,1997,18,18,x,x,x,x,x,x,x,x,45.9,x,x
Angola,1998,18,18,x,x,x,x,x,x,x,x,46,x,x
Angola,1999,18,18,x,x,x,x,x,x,x,x,46,x,x
Angola,2000,18,18,x,x,x,x,x,x,x,x,46,103,x
Angola,2001,18,18,72.19449066,83.77693283,4.5,6.2,x,x,x,x,45.9,x,x
Angola,2002,18,18,x,x,x,x,x,x,x,x,46,x,x
Angola,2003,18,18,x,x,x,x,x,x,x,x,46,x,x
Angola,2004,18,18,x,x,x,x,x,x,x,x,45.9,x,x
Angola,2005,18,18,x,x,x,x,x,x,x,x,45.8,102.9,x
Angola,2006,18,18,x,x,x,x,x,x,x,x,45.8,x,x
Angola,2011,18,18,66.05586,80.12215,x,x,x,x,x,x,x,x,x
Antigua and Barbuda,1960,18,18,x,x,x,x,1.4,0.2,27.3,32.3,x,x,x
Antigua and Barbuda,1981,18,18,x,x,44.6,48.2,x,x,x,x,x,x,x
Antigua and Barbuda,1985,18,18,x,x,x,x,x,x,x,x,x,x,289
Antigua and Barbuda,1986,18,18,x,x,x,x,x,x,x,x,x,x,245
Antigua and Barbuda,1988,18,18,x,x,50.6,52.6,x,x,x,x,x,x,x
Antigua and Barbuda,1991,18,18,x,x,x,x,0.1,0.1,33.2,33.2,x,107.4,196
Antigua and Barbuda,1992,18,18,x,x,x,x,x,x,x,x,x,107.4,194
Antigua and Barbuda,1993,18,18,x,x,x,x,x,x,x,x,x,107.4,178
Antigua and Barbuda,1994,18,18,x,x,x,x,x,x,x,x,x,107.4,184
Antigua and Barbuda,1995,18,18,x,x,x,x,x,x,x,x,x,107.4,213
Antigua and Barbuda,1996,18,18,x,x,x,x,x,x,x,x,x,107.4,x
Antigua and Barbuda,1997,18,18,x,x,x,x,x,x,x,x,x,x,x
Antigua and Barbuda,2000,18,18,x,x,x,x,x,x,x,x,x,107.4,x
Antigua and Barbuda,2001,18,18,x,x,x,x,3.9,1,25.7,29.3,x,112.9,x
Antigua and Barbuda,2002,18,18,x,x,x,x,x,x,x,x,x,112.9,x
Antigua and Barbuda,2003,18,18,x,x,x,x,x,x,x,x,x,112.9,x
Antigua and Barbuda,2004,18,18,x,x,x,x,x,x,x,x,x,112.9,x
Argentina,1970,16,18,x,x,x,x,10.8,1.9,23.1,26.4,x,x,x
Argentina,1980,16,18,97.30247985,96.45921911,x,x,,,17.9,19.8,x,x,x
Argentina,1985,16,18,x,x,x,x,x,x,x,x,30.8,103.2,87332
Argentina,1986,16,18,x,x,x,x,x,x,x,x,31.6,103.3,91501
Argentina,1987,16,18,x,x,x,x,x,x,x,x,32.3,103.4,90605
Argentina,1988,16,18,x,x,x,x,x,x,x,x,33,103.5,93788
Argentina,1989,16,18,x,x,x,x,x,x,x,x,33.7,103.6,92499
Argentina,1990,16,18,x,x,x,x,x,x,x,x,34.4,103.7,96404
Argentina,1991,16,18,98.3046407,98.06549035,x,x,12.4,2.7,23.3,25.8,35.2,103.7,101772
Argentina,1992,16,18,x,x,x,x,x,x,x,x,35.5,103.7,100278
Argentina,1993,16,18,x,x,x,x,x,x,x,x,36.1,103.8,100162
Argentina,1994,16,18,x,x,x,x,x,x,x,x,36.6,103.8,103137
Argentina,1995,16,18,x,x,x,x,x,x,x,x,37.5,103.9,103688
Argentina,1996,16,18,x,x,x,x,x,x,x,x,37.9,103.9,105709
Argentina,1997,16,18,x,x,x,x,x,x,x,x,38.2,103.9,111898
Argentina,1998,16,18,x,x,x,x,x,x,x,x,38.7,104,107857
Argentina,1999,16,18,x,x,x,x,x,x,x,x,39.4,104.1,105546
Argentina,2000,16,18,x,x,x,x,x,x,x,x,40,104.3,106337
Argentina,2001,16,18,99.12767253,98.70789783,63.8,65.3,10.6,3.9,24.6,26.9,40.8,104.1,100082
Argentina,2002,16,18,x,x,x,x,x,x,x,x,41.7,104.2,101753
Argentina,2003,16,18,x,x,x,x,x,x,x,x,42.1,104.2,95224
Argentina,2004,16,18,x,x,x,x,x,x,x,x,42.4,104.2,106438
Argentina,2005,16,18,x,x,69.9,78.9,x,x,x,x,42.9,104.5,107109
Argentina,2006,16,18,x,x,x,x,x,x,x,x,43.3,x,x
Argentina,2010,16,18,x,x,x,x,12.9,6,24.6,26.6,x,x,x
Argentina,2011,16,18,99.21508,99.03215,x,x,x,x,x,x,x,x,x
Armenia,1979,17,17,x,x,x,x,13.6,1.9,21.5,24,x,x,x
Armenia,1985,17,17,x,x,x,x,x,x,x,x,47.1,104.5,7984
Armenia,1986,17,17,x,x,x,x,x,x,x,x,47.1,x,7786
Armenia,1987,17,17,x,x,x,x,x,x,x,x,47.2,x,7560
Armenia,1988,17,17,x,x,x,x,x,x,x,x,47.3,103.8,8159
Armenia,1989,17,17,99.90996264,99.90936706,x,x,16.8,2.4,21.2,24.2,47.5,104.9,8530
Armenia,1990,17,17,x,x,x,x,x,x,x,x,47.7,106.2,10018
Armenia,1991,17,17,x,x,25.2,56,x,x,x,x,47.5,x,11283
Armenia,1992,17,17,x,x,x,x,x,x,x,x,47.3,x,12447
Armenia,1993,17,17,x,x,x,x,x,x,x,x,47.1,x,11832
Armenia,1994,17,17,x,x,x,x,x,x,x,x,46.9,x,10637
Armenia,1995,17,17,x,x,x,x,x,x,x,x,46.8,110.7,8964
Armenia,1996,17,17,x,x,x,x,x,x,x,x,46.7,x,8694
Armenia,1997,17,17,x,x,x,x,x,x,x,x,46.5,x,7257
Armenia,1998,17,17,x,x,x,x,x,x,x,x,47,x,5917
Armenia,1999,17,17,x,x,x,x,x,x,x,x,47.3,x,5243
Armenia,2000,17,17,x,x,20.4,60.5,x,x,x,x,47.8,112.6,4937
Armenia,2001,17,17,99.86166942,99.75234511,x,x,7.9,0.8,23.4,27.4,48.2,108.3,x
Armenia,2002,17,17,x,x,x,x,x,x,x,x,48.7,108.1,4401
Armenia,2003,17,17,x,x,x,x,x,x,x,x,49.1,107.8,4652
Armenia,2004,17,17,x,x,x,x,x,x,x,x,49,107.5,4717
Armenia,2005,17,17,x,x,19.1,53.1,7.1,0,23.3,26.9,49.1,114.5,x
Armenia,2006,17,17,x,x,x,x,x,x,x,x,49.2,x,x
Armenia,2010,17,17,x,x,26.5,54.9,8.4,1,24.4,27.8,x,x,x
Armenia,2011,17,17,99.75676,99.6894,x,x,x,x,x,x,x,x,x
Australia,1971,18,18,x,x,x,x,8.8,1.4,21.5,24.4,x,x,x
Australia,1985,18,18,x,x,x,x,x,x,x,x,38.3,100.5,14556
Australia,1986,18,18,x,x,72.2,76.1,2.4,0.6,24.8,27.1,39.2,100.2,14326
Australia,1987,18,18,x,x,x,x,x,x,x,x,39.7,100.3,13984
Australia,1988,18,18,x,x,x,x,x,x,x,x,40.3,100.4,13961
Australia,1989,18,18,x,x,x,x,x,x,x,x,40.8,100.5,14259
Australia,1990,18,18,x,x,x,x,x,x,x,x,41.3,100.3,15107
Australia,1991,18,18,x,x,x,x,x,x,x,x,41.5,100.6,14717
Australia,1992,18,18,x,x,x,x,x,x,x,x,41.6,100.7,14154
Australia,1993,18,18,x,x,x,x,x,x,x,x,41.7,100.8,13175
Australia,1994,18,18,x,x,x,x,x,x,x,x,42.1,100.9,12853
Australia,1995,18,18,x,x,63.9,66.7,x,x,x,x,42.7,100.9,12631
Australia,1996,18,18,x,x,x,x,1.4,0.6,27.7,29.9,42.8,101,12509
Australia,1997,18,18,x,x,x,x,x,x,x,x,42.9,101.2,12309
Australia,1998,18,18,x,x,x,x,x,x,x,x,43.3,101.3,11849
Australia,1999,18,18,x,x,x,x,x,x,x,x,43.3,101.4,11751
Australia,2000,18,18,x,x,x,x,x,x,x,x,44,101.5,11474
Australia,2001,18,18,x,x,x,x,1,0.4,28.9,31,44.2,101.6,11704
Australia,2002,18,18,x,x,70.8,70.8,x,x,x,x,44.3,101.4,11505
Australia,2003,18,18,x,x,x,x,x,x,x,x,44.5,101.4,10811
Australia,2004,18,18,x,x,x,x,x,x,x,x,44.8,101.3,10857
Australia,2005,18,18,x,x,68.1,72.3,x,x,x,x,45,101.1,10744
Australia,2006,18,18,x,x,x,x,0.8,0.4,29.7,31.6,45.2,x,x
Austria,1971,16,16,x,x,x,x,7,0.6,21.9,26,x,x,x
Austria,1981,16,16,x,x,x,x,4.2,0.5,23.5,26.9,x,x,x
Austria,1985,16,16,x,x,x,x,x,x,x,x,39.4,110.6,7507
Austria,1986,16,16,x,x,x,x,x,x,x,x,39.5,110.4,7055
Austria,1987,16,16,x,x,x,x,x,x,x,x,39.9,110.1,6392
Austria,1988,16,16,x,x,x,x,x,x,x,x,40.3,109.8,6116
Austria,1989,16,16,x,x,x,x,x,x,x,x,40.4,109.4,5653
Austria,1990,16,16,x,x,x,x,x,x,x,x,40.8,108.3,5379
Austria,1991,16,16,x,x,x,x,2.7,0.6,26.1,28.9,40.9,108.4,5596
Austria,1992,16,16,x,x,x,x,x,x,x,x,41.4,108,5488
Austria,1993,16,16,x,x,x,x,x,x,x,x,41.6,107.7,5191
Austria,1994,16,16,x,x,x,x,x,x,x,x,42.8,107.4,4292
Austria,1995,16,16,x,x,x,x,x,x,x,x,42.7,106.2,3894
Austria,1996,16,16,x,x,46.8,50.9,x,x,x,x,42.7,107.2,3507
Austria,1997,16,16,x,x,x,x,x,x,x,x,42.9,107.2,3367
Austria,1998,16,16,x,x,x,x,x,x,x,x,42.9,107.1,3275
Austria,1999,16,16,x,x,x,x,x,x,x,x,43,106.9,3105
Austria,2000,16,16,x,x,x,x,x,x,x,x,43.1,105.1,x
Austria,2001,16,16,x,x,x,x,2.9,0.7,26.6,29.5,43.4,106.5,3254
Austria,2002,16,16,x,x,x,x,x,x,x,x,43.9,106.3,3256
Austria,2003,16,16,x,x,x,x,x,x,x,x,44,106.1,3106
Austria,2004,16,16,x,x,x,x,x,x,x,x,44.3,106,3251
Austria,2005,16,16,x,x,x,x,x,x,x,x,44.6,104.2,3062
Austria,2006,16,16,x,x,x,x,x,x,x,x,44.9,x,x
Austria,2011,16,16,x,x,x,x,0,0,31,33.6,x,x,x
Azerbaijan,1979,17,18,x,x,x,x,6.9,1.1,22.4,25.1,x,x,x
Azerbaijan,1985,17,18,x,x,x,x,x,x,x,x,47.1,105.4,6803
Azerbaijan,1986,17,18,x,x,x,x,x,x,x,x,47.1,x,7032
Azerbaijan,1987,17,18,x,x,x,x,x,x,x,x,47.2,x,6899
Azerbaijan,1988,17,18,x,x,x,x,x,x,x,x,47.4,x,8722
Azerbaijan,1989,17,18,x,x,x,x,7.6,1.2,23.8,25.8,47.4,105.1,9172
Azerbaijan,1990,17,18,x,x,x,x,x,x,x,x,47.4,104.4,8675
Azerbaijan,1991,17,18,x,x,x,x,x,x,x,x,46.7,x,9913
Azerbaijan,1992,17,18,x,x,x,x,x,x,x,x,46.4,x,11386
Azerbaijan,1993,17,18,x,x,x,x,x,x,x,x,46,x,12535
Azerbaijan,1994,17,18,x,x,x,x,x,x,x,x,45.6,103.7,13448
Azerbaijan,1995,17,18,x,x,x,x,x,x,x,x,45.4,104.2,13368
Azerbaijan,1996,17,18,x,x,x,x,x,x,x,x,45.6,103,12329
Azerbaijan,1997,17,18,x,x,x,x,x,x,x,x,45.8,102.8,14483
Azerbaijan,1998,17,18,x,x,x,x,x,x,x,x,46.1,103.8,13241
Azerbaijan,1999,17,18,99.9014917,99.87033569,x,x,12.8,2.5,23.9,27,46.3,104.7,12141
Azerbaijan,2000,17,18,x,x,15.8,55.1,x,x,x,x,46.7,104.9,11407
Azerbaijan,2001,17,18,x,x,11.9,55.4,x,x,x,x,47,104.2,10741
Azerbaijan,2002,17,18,x,x,x,x,x,x,x,x,47.2,104,11076
Azerbaijan,2003,17,18,x,x,x,x,x,x,x,x,47.5,103.8,11993
Azerbaijan,2004,17,18,x,x,x,x,x,x,x,x,47.5,103.5,13739
Azerbaijan,2005,17,18,x,x,x,x,x,x,x,x,47.7,105.7,x
Azerbaijan,2006,17,18,x,x,13.2,51.1,10.9,0.2,23.1,26.7,47.9,x,x
Azerbaijan,2007,17,18,x,x,x,x,x,x,x,x,x,x,x
Azerbaijan,2009,17,18,99.9457877,99.95678479,x,x,8.3,0.3,24.4,28.2,x,x,x
Bahamas,1970,18,18,x,x,x,x,10.1,1.3,22.4,26,x,x,x
Bahamas,1980,18,18,x,x,x,x,4.6,0.5,24.8,27.3,x,x,x
Bahamas,1985,18,18,x,x,x,x,x,x,x,x,44.2,101.6,x
Bahamas,1986,18,18,x,x,x,x,x,x,x,x,44.9,x,x
Bahamas,1987,18,18,x,x,x,x,x,x,x,x,44.5,x,x
Bahamas,1988,18,18,x,x,60.1,61.7,x,x,x,x,45.1,x,x
Bahamas,1989,18,18,x,x,x,x,x,x,x,x,44.4,x,x
Bahamas,1990,18,18,x,x,x,x,3.7,0.9,27.2,29.1,45,101.7,x
Bahamas,1991,18,18,x,x,x,x,x,x,x,x,45.5,104.5,x
Bahamas,1992,18,18,x,x,x,x,x,x,x,x,46,104.9,x
Bahamas,1993,18,18,x,x,x,x,x,x,x,x,45.7,103.2,x
Bahamas,1994,18,18,x,x,x,x,x,x,x,x,46.2,102.8,x
Bahamas,1995,18,18,x,x,x,x,x,x,x,x,47,102.8,x
Bahamas,1996,18,18,x,x,x,x,x,x,x,x,47.4,102.1,x
Bahamas,1997,18,18,x,x,x,x,x,x,x,x,48.2,101.8,x
Bahamas,1998,18,18,x,x,x,x,x,x,x,x,48.2,x,x
Bahamas,1999,18,18,x,x,x,x,x,x,x,x,49,x,x
Bahamas,2000,18,18,x,x,x,x,3.1,0.5,27.4,29.9,48.6,103.7,x
Bahamas,2001,18,18,x,x,x,x,x,x,x,x,48.3,105.7,x
Bahamas,2002,18,18,x,x,x,x,x,x,x,x,49,x,x
Bahamas,2003,18,18,x,x,x,x,x,x,x,x,48.7,x,x
Bahamas,2004,18,18,x,x,x,x,x,x,x,x,49.4,x,x
Bahamas,2005,18,18,x,x,x,x,x,x,x,x,49.4,104.3,x
Bahamas,2006,18,18,x,x,x,x,x,x,x,x,49.1,x,x
Bangladesh,1974,18,21,x,x,x,x,75.5,7.7,16.4,24,x,x,x
Bangladesh,1976,18,21,x,x,5,7.7,x,x,x,x,x,x,x
Bangladesh,1979,18,21,x,x,8.9,12.7,x,x,x,x,x,x,x
Bangladesh,1981,18,21,27.15100912,44.36215914,11,18.6,68.8,6.7,16.7,23.9,x,x,x
Bangladesh,1984,18,21,x,x,13.7,19.1,x,x,x,x,x,x,x
Bangladesh,1985,18,21,x,x,x,x,x,x,x,x,40.9,94,x
Bangladesh,1986,18,21,x,x,18.4,25.3,x,x,x,x,40.6,94,x
Bangladesh,1987,18,21,x,x,x,x,x,x,x,x,40.6,x,x
Bangladesh,1988,18,21,x,x,x,x,x,x,x,x,40.6,x,x
Bangladesh,1989,18,21,x,x,23.2,30.8,x,x,x,x,40.7,x,x
Bangladesh,1990,18,21,x,x,x,x,x,x,x,x,40.2,94.2,x
Bangladesh,1991,18,21,44.68082553,51.73673488,31.2,39.9,51.3,5,18.1,24.9,39.7,94.5,x
Bangladesh,1992,18,21,x,x,x,x,x,x,x,x,39.2,x,x
Bangladesh,1993,18,21,x,x,x,x,x,x,x,x,38.7,x,x
Bangladesh,1994,18,21,x,x,36.2,44.6,x,x,x,x,38.2,94.5,x
Bangladesh,1995,18,21,x,x,x,x,x,x,x,x,37.6,94.7,x
Bangladesh,1996,18,21,x,x,x,x,x,x,x,x,37.1,94.7,x
Bangladesh,1997,18,21,x,x,41.6,49.2,x,x,x,x,37.2,94.5,x
Bangladesh,1998,18,21,x,x,x,x,x,x,x,x,37.2,94.8,x
Bangladesh,1999,18,21,x,x,x,x,x,x,x,x,37.3,94.4,x
Bangladesh,2000,18,21,x,x,43.4,53.8,x,x,x,x,37.4,95,x
Bangladesh,2001,18,21,60.2562288,67.16380966,x,x,37.4,4.3,19.1,25.3,37.5,92.7,x
Bangladesh,2002,18,21,x,x,x,x,x,x,x,x,37.6,x,x
Bangladesh,2003,18,21,x,x,x,x,x,x,x,x,37.6,x,x
Bangladesh,2004,18,21,x,x,47.3,58.1,x,x,x,x,36.8,x,x
Bangladesh,2005,18,21,x,x,x,x,x,x,x,x,36.8,95.3,x
Bangladesh,2006,18,21,x,x,x,x,x,x,x,x,36.7,x,x
Bangladesh,2007,18,21,x,x,47.5,55.8,x,x,x,x,x,x,x
Bangladesh,2011,18,21,78.70577,77.0668,x,x,45.7,2.1,18.6,25.4,x,x,x
Bangladesh,2012,18,21,x,x,52.1,61.2,x,x,x,x,x,x,x
Barbados,1970,16,16,x,x,x,x,0.9,0.2,28.5,31.7,x,x,x
Barbados,1980,16,16,x,x,x,x,0.6,0.2,30.4,32.7,x,x,x
Barbados,1981,16,16,x,x,44.7,46.5,x,x,x,x,x,x,x
Barbados,1985,16,16,x,x,x,x,x,x,x,x,46.8,109.5,710
Barbados,1986,16,16,x,x,x,x,x,x,x,x,46.5,x,620
Barbados,1987,16,16,x,x,x,x,x,x,x,x,46.3,x,571
Barbados,1988,16,16,x,x,53.3,55,x,x,x,x,47.9,x,529
Barbados,1989,16,16,x,x,x,x,x,x,x,x,47.6,108.4,x
Barbados,1990,16,16,x,x,x,x,0.6,0.2,31.8,34.3,47.2,108.4,x
Barbados,1991,16,16,x,x,x,x,x,x,x,x,47.6,x,x
Barbados,1992,16,16,x,x,x,x,x,x,x,x,47.6,x,x
Barbados,1993,16,16,x,x,x,x,x,x,x,x,47.3,x,x
Barbados,1994,16,16,x,x,x,x,x,x,x,x,47.7,x,x
Barbados,1995,16,16,x,x,x,x,x,x,x,x,48.1,107.5,x
Barbados,1996,16,16,x,x,x,x,x,x,x,x,48.4,x,x
Barbados,1997,16,16,x,x,x,x,x,x,x,x,48.1,x,x
Barbados,1998,16,16,x,x,x,x,x,x,x,x,48.1,x,x
Barbados,1999,16,16,x,x,x,x,x,x,x,x,48.1,x,x
Barbados,2000,16,16,x,x,x,x,x,x,x,x,48.2,107.1,x
Barbados,2001,16,16,x,x,x,x,x,x,x,x,48.2,x,x
Barbados,2002,16,16,x,x,x,x,x,x,x,x,47.9,x,x
Barbados,2003,16,16,x,x,x,x,x,x,x,x,47.9,x,x
Barbados,2004,16,16,x,x,x,x,x,x,x,x,47.3,x,x
Barbados,2005,16,16,x,x,x,x,x,x,x,x,47.6,106.6,446
Barbados,2006,16,16,x,x,x,x,x,x,x,x,47.4,x,x
Belarus,1979,18,18,x,x,x,x,8.3,0.3,21.3,24.6,x,x,x
Belarus,1985,18,18,x,x,x,x,x,x,x,x,49.1,114.5,x
Belarus,1986,18,18,x,x,x,x,x,x,x,x,49,x,12664
Belarus,1987,18,18,x,x,x,x,x,x,x,x,49,x,13204
Belarus,1988,18,18,x,x,x,x,x,x,x,x,49,x,13412
Belarus,1989,18,18,99.76628353,99.73197565,x,x,8.2,1.6,21.9,24.5,49,113.8,14117
Belarus,1990,18,18,x,x,x,x,x,x,x,x,48.8,113.4,13477
Belarus,1991,18,18,x,x,x,x,x,x,x,x,48.7,x,16242
Belarus,1992,18,18,x,x,x,x,x,x,x,x,48.5,112.8,16500
Belarus,1993,18,18,x,x,x,x,x,x,x,x,48.4,112.8,15770
Belarus,1994,18,18,x,x,x,x,x,x,x,x,48.3,113.5,15649
Belarus,1995,18,18,x,x,42.1,50.4,x,x,x,x,48.3,112.9,14495
Belarus,1996,18,18,x,x,x,x,x,x,x,x,48.4,114.2,13443
Belarus,1997,18,18,x,x,x,x,x,x,x,x,48.5,114.3,12612
Belarus,1998,18,18,x,x,x,x,x,x,x,x,48.6,114.4,11881
Belarus,1999,18,18,99.82820954,99.75687428,x,x,6.3,1,22.8,25.4,48.8,113,11506
Belarus,2000,18,18,x,x,x,x,x,x,x,x,48.9,113.5,x
Belarus,2001,18,18,x,x,x,x,x,x,x,x,49,x,x
Belarus,2002,18,18,x,x,x,x,x,x,x,x,49.1,113.3,9656
Belarus,2003,18,18,x,x,x,x,x,x,x,x,49.2,113.5,9520
Belarus,2004,18,18,x,x,x,x,x,x,x,x,49.3,113.7,8868
Belarus,2005,18,18,x,x,56,72.6,x,x,x,x,49.3,114.5,x
Belarus,2006,18,18,x,x,x,x,x,x,x,x,49.4,x,x
Belarus,2009,18,18,99.82321348,99.80032664,x,x,4,0.7,24.6,26.9,x,x,x
Belgium,1966,18,18,x,x,10.8,72,x,x,x,x,x,x,x
Belgium,1970,18,18,x,x,x,x,6.9,1,21.4,24.2,x,x,x
Belgium,1976,18,18,x,x,47.9,87,x,x,x,x,x,x,x
Belgium,1981,18,18,x,x,x,x,5.3,0.7,22.4,24.8,x,x,x
Belgium,1982,18,18,x,x,63.2,81,x,x,x,x,x,x,x
Belgium,1985,18,18,x,x,x,x,x,x,x,x,37.9,105.4,x
Belgium,1986,18,18,x,x,x,x,x,x,x,x,38.3,104.8,4231
Belgium,1987,18,18,x,x,x,x,x,x,x,x,38.5,104.8,3932
Belgium,1988,18,18,x,x,x,x,x,x,x,x,38.6,104.8,x
Belgium,1989,18,18,x,x,x,x,x,x,x,x,38.7,104.7,x
Belgium,1990,18,18,x,x,x,x,x,x,x,x,39,104.8,x
Belgium,1991,18,18,x,x,x,x,2.5,0.3,25.1,27.5,39.8,104.6,x
Belgium,1992,18,18,x,x,74.3,78.4,x,x,x,x,40.3,104.5,3605
Belgium,1993,18,18,x,x,x,x,x,x,x,x,41,104.5,x
Belgium,1994,18,18,x,x,x,x,x,x,x,x,41.1,104.5,x
Belgium,1995,18,18,x,x,x,x,x,x,x,x,41.3,104.5,x
Belgium,1996,18,18,x,x,x,x,x,x,x,x,41.4,104.6,x
Belgium,1997,18,18,x,x,54.8,56.5,x,x,x,x,41.8,104.6,x
Belgium,1998,18,18,x,x,x,x,x,x,x,x,42.1,104.5,x
Belgium,1999,18,18,x,x,x,x,x,x,x,x,42.8,104.5,x
Belgium,2000,18,18,x,x,x,x,x,x,x,x,42.9,104.4,x
Belgium,2001,18,18,x,x,74,75.6,1,0.1,28.4,30.9,42.4,104.5,x
Belgium,2002,18,18,x,x,x,x,x,x,x,x,42.8,104.4,x
Belgium,2003,18,18,x,x,x,x,x,x,x,x,43.1,104.4,x
Belgium,2004,18,18,x,x,72.9,74.6,x,x,x,x,43.6,104.4,x
Belgium,2005,18,18,x,x,x,x,x,x,x,x,43.8,104.3,x
Belgium,2006,18,18,x,x,x,x,x,x,x,x,44.1,x,x
