Armenia,1987,17.0,17.0,99.0,99.0,24.92631579,56.23157895,16.16,2.3,21.26,24.16,47.2,104.0333333,0.00427360090447,1
Armenia,1988,17.0,17.0,99.0,99.0,24.99473684,56.17368421,16.48,2.35,21.23,24.18,47.3,103.8,0.00453529738744,1
Armenia,1989,17.0,17.0,99.90996264,99.90936706,25.06315789,56.11578947,16.8,2.4,21.2,24.2,47.5,104.9,0.0046893897746,1
Armenia,1990,17.0,17.0,99.90593821,99.8962819,25.13157895,56.05789474,16.05833333,2.266666667,21.38333333,24.46666667,47.7,106.2,0.00548931506849,1
Armenia,1991,17.0,17.0,99.90191377,99.88319674,25.2,56.0,15.31666667,2.133333333,21.56666667,24.73333333,47.5,107.1,0.00621652892562,1
Armenia,1992,17.0,17.0,99.89788934,99.87011157,24.66666667,56.5,14.575,2.0,21.75,25.0,47.3,108.0,0.00695363128492,1
Armenia,1993,17.0,17.0,99.8938649,99.85702641,24.13333333,57.0,13.83333333,1.866666667,21.93333333,25.26666667,47.1,108.9,0.00673804100228,1
Armenia,1994,17.0,17.0,99.88984047,99.84394125,23.6,57.5,13.09166667,1.733333333,22.11666667,25.53333333,46.9,109.8,0.00617353453279,1
Armenia,1995,17.0,17.0,99.88581603,99.83085609,23.06666667,58.0,12.35,1.6,22.3,25.8,46.8,110.7,0.00528849557522,1
Armenia,1996,17.0,17.0,99.8817916,99.81777092,22.53333333,58.5,11.60833333,1.466666667,22.48333333,26.06666667,46.7,111.08,0.00519044776119,1
Armenia,1997,17.0,17.0,99.87776716,99.80468576,22.0,59.0,10.86666667,1.333333333,22.66666667,26.33333333,46.5,111.46,0.00436642599278,1
Armenia,1998,17.0,17.0,99.87374273,99.7916006,21.46666667,59.5,10.125,1.2,22.85,26.6,47.0,111.84,0.0035795523291,1
Armenia,1999,17.0,17.0,99.86971829,99.77851543,20.93333333,60.0,9.383333333,1.066666667,23.03333333,26.86666667,47.3,112.22,0.00319111381619,1
Armenia,2000,17.0,17.0,99.86569386,99.76543027,20.4,60.5,8.641666667,0.933333333,23.21666667,27.13333333,47.8,112.6,0.00302697731453,1
Armenia,2002,17.0,17.0,99.85117848,99.7460506,19.88,57.54,7.7,0.6,23.375,27.275,48.7,108.1,0.00275579211021,1
Armenia,2003,17.0,17.0,99.84068754,99.73975609,19.62,56.06,7.5,0.4,23.35,27.15,49.1,107.8,0.00294803548796,1
Armenia,2004,17.0,17.0,99.83019659,99.73346158,19.36,54.58,7.3,0.2,23.325,27.025,49.0,107.5,0.00302759948652,1
Armenia,2005,17.0,17.0,99.81970565,99.72716707,19.1,53.1,7.1,0.0,23.3,26.9,49.1,114.5,0.00277658789063,1
Armenia,2006,17.0,17.0,99.80921471,99.72087256,20.58,53.46,7.36,0.2,23.52,27.08,49.2,100.0,0.00264200792602,1
Armenia,2010,17.0,17.0,99.76725094,99.69569451,26.5,54.9,8.4,1.0,24.4,27.8,49.6,100.0,0.00277843611111,1
Australia,1985,18.0,18.0,99.0,99.0,72.41578947,76.3,2.826666667,0.653333333,24.58,26.92,38.3,100.5,0.00184113331647,4
Australia,1986,18.0,18.0,99.0,99.0,72.2,76.1,2.4,0.6,24.8,27.1,39.2,100.2,0.00178294959552,4
Australia,1987,18.0,18.0,99.0,99.0,71.27777778,75.05555556,2.3,0.6,25.09,27.38,39.7,100.3,0.00171120900636,5
Australia,1988,18.0,18.0,99.0,99.0,70.35555556,74.01111111,2.2,0.6,25.38,27.66,40.3,100.4,0.00168002406739,5
Australia,1989,18.0,18.0,99.0,99.0,69.43333333,72.96666667,2.1,0.6,25.67,27.94,40.8,100.5,0.00168845470693,5
Australia,1990,18.0,18.0,99.0,99.0,68.51111111,71.92222222,2.0,0.6,25.96,28.22,41.3,100.3,0.00176257146191,5
Australia,1991,18.0,18.0,99.0,99.0,67.58888889,70.87777778,1.9,0.6,26.25,28.5,41.5,100.6,0.00169414066997,5
Australia,1992,18.0,18.0,99.0,99.0,66.66666667,69.83333333,1.8,0.6,26.54,28.78,41.6,100.7,0.00160950648169,5
Australia,1993,18.0,18.0,99.0,99.0,65.74444444,68.78888889,1.7,0.6,26.83,29.06,41.7,100.8,0.00148100269784,5
Australia,1994,18.0,18.0,99.0,99.0,64.82222222,67.74444444,1.6,0.6,27.12,29.34,42.1,100.9,0.00142826980776,5
