Kazakhstan,2008,22655.73
Kiribati,1973,196.68
Kiribati,1985,240.093
Kiribati,1995,222.772
Kiribati,2000,188.37
Kiribati,2005,205.998
Kuwait,1970,3816.648
Kuwait,1985,3697.449
Kuwait,1995,1856.332
Kuwait,2005,1280.457
Kyrgyzstan,1970,5778.786
Kyrgyzstan,1996,16705.575
Kyrgyzstan,2006,8119.188
Lao PDR,1997,27896.694
Lao PDR,2005,35589.4
Lao PDR,1970,2210.152
Latvia,1995,2450.4
Latvia,2005,1434.096
Latvia,2010,1142.774
Lebanon,1970,4209.6
Liberia,1984,22263.524
Liechtenstein,1986,7.08
Liechtenstein,2005,7.133
Liechtenstein,2010,1.068
Lithuania,1970,2745.552
Lithuania,1995,5152.52
Lithuania,2005,2534.087
Lithuania,2010,1652.014
Luxembourg,1970,332.136
Luxembourg,1985,142.494
Luxembourg,1995,120.197
Luxembourg,2005,158.28
Luxembourg,2010,116.304
Madagascar,1966,42441
Malawi,1982,60854.722
Maldives,1967,437.933
Maldives,2006,296.235
Mali,1960,27826.5
Malta,1970,220.857
Malta,1985,140.412
Malta,1995,137.74
Malta,2005,221.584
Malta,2010,238.662
Martinique,1985,568.269
Martinique,1995,215.726
Martinique,2007,307.66
Mauritania,2000,8449.232
Mauritius,1995,2167.542
Mauritius,2005,1543.104
Mauritius,2010,1610.25
Mayotte,1978,437.95
Mayotte,2002,970.488
Mexico,1995,435185.38
Mexico,2005,429501.66
Micronesia (Federated States of),1994,273.54
Mongolia,2005,2196.734213
Mongolia,2008,2903.333
Montenegro,2005,377.704
Montenegro,2009,501.952
Montserrat,1995,20.859
Morocco,1971,50721
Mozambique,1970,34683.474
Namibia,1991,9174.421
Namibia,2001,5149.55
Nauru,1992,30.1
Nauru,2002,57.404
Nepal,1971,37497.45
Nepal,1985,76874.391
Netherlands,1970,12466.782
Netherlands,1985,4216.59
Netherlands,1995,2704.194
Netherlands,2010,2470.0375
New Zealand,1970,7897.87
New Zealand,1985,4294.9
New Zealand,1995,4352.37
New Zealand,2005,4031.64
New Zealand,2011,4004.78
Nicaragua,1971,10695.698
Nicaragua,2005,31003.41
Niger,2001,93605.706
Niue,2001,3.01
Northern Mariana Islands,1995,118.248
Norway,1970,6607.035
Norway,1985,2932.812
Norway,1995,1841.364
Norway,2005,1145.716
Norway,2010,1250.272
Oman,1993,8795.9
Oman,2010,1502.592
Pakistan,1996,358560.73
Pakistan,2005,159437.74
Pakistan,2007,131388.857
Palau,1980,39.648
Palau,1995,47.242
Palau,2005,23.157
Panama,1970,9686.292
Panama,2010,12560.472
Papua New Guinea,2000,18284.28
Paraguay,1972,8305.038
Philippines,2007,246904.902
Poland,1970,51168.3
Poland,1985,42947.415
Poland,1995,34618.98
Poland,2005,17151.684
Poland,2010,18554.13
Portugal,1970,11662.2
Portugal,1985,14364.592
Portugal,1995,7805.6
Portugal,2005,5527.3565
Portugal,2009,4197.7275
Puerto Rico,1970,10621.44
Puerto Rico,1985,10787.075
Puerto Rico,1995,11788.5
Puerto Rico,2005,8933.023
Puerto Rico,2008,8050.405
Qatar,2005,385.272
Qatar,2010,431.632
Republic of Korea,1970,19694.415
Republic of Korea,1985,20889.42
Republic of Korea,2005,2948.29
Republic of Korea,2010,3224.47
Republic of Moldova,2010,3685.526
Romania,1970,58446.498
Romania,1985,55704.96
Romania,1995,40330.29
Romania,2005,28778.212
Romania,2010,22840.544
Russian Federation,1970,179730.3
Russian Federation,1995,234769.568
Russian Federation,2005,168494.928
Russian Federation,2010,116413.416
Rwanda,1991,21736.2
Saint Kitts and Nevis,1995,129.6
Saint Kitts and Nevis,2000,160.82
Saint Lucia,1970,788.64
Saint Lucia,1985,1077.468
Saint Lucia,1995,682.41
Saint Lucia,2002,443.904
Saint Lucia,2004,434.777
Samoa,1981,389.103
Samoa,1991,232.025
Samoa,2001,357.28
Samoa,2006,246.152
San Marino,1970,19.285
San Marino,1985,10.608
San Marino,1997,2.103
San Marino,2004,0.6195
